#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Juke Box (USA);Juke Box (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Jumpman Junior (USA);Jumpman Junior (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Jungle Hunt (USA);Jungle Hunt (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Ken Uston's Blackjack-Poker (USA, Europe);Ken Uston's Blackjack-Poker (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Keystone Kapers (USA);Keystone Kapers (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Lady Bug (USA, Europe);Lady Bug (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Learning With Leeper (USA);Learning With Leeper (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Linking Logic (USA);Linking Logic (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Logic Levels (USA);Logic Levels (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Looping (USA, Europe);Looping (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
M.A.S.H (Europe);M.A.S.H (Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Memory Manor (USA);Memory Manor (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Meteoric Shower (USA);Meteoric Shower (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Miner 2049er (USA);Miner 2049er (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Monkey Academy (USA, Europe);Monkey Academy (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Montezuma's Revenge (USA);Montezuma's Revenge (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Moonsweeper (USA);Moonsweeper (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Motocross Racer (USA);Motocross Racer (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Mountain King (USA);Mountain King (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Mousetrap (USA, Europe);Mousetrap (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Mr Do!'s Castle (USA);Mr Do!'s Castle (USA);ColecoVision;;;;;;;;;;;;;;;;;;
