Game Boy Advance Video - Teenage Mutant Ninja Turtles - Things Change (USA, Europe);Game Boy Advance Video - Teenage Mutant Ninja Turtles - Things Change (USA, Europe);Nintendo Game Boy Advance;;2004;Majesco Games;Miscellaneous;;;;;0;;;;;
tmht22pe;Teenage Mutant Hero Turtles - Turtles in Time (2 Players ver EBA);Arcade;tmnt2;1991;Konami;Fighter / 2.5D;;;;;0;;;;;
tmht22pe;Teenage Mutant Hero Turtles - Turtles in Time (2 Players ver EBA);MAME (Advance);tmnt2;1991;Konami;Fighter / 2.5D;;;;;0;;;;;
tmht22pe;Teenage Mutant Hero Turtles - Turtles in Time (2 Players ver EBA);MAME (Libretro);tmnt2;1991;Konami;Fighter / 2.5D;;;;;0;;;;;
tmht22pe;Teenage Mutant Hero Turtles - Turtles in Time (2 Players ver EBA);MAME (Mame4all);tmnt2;1991;Konami;Fighter / 2.5D;;;;;0;;;;;
tmht22pe;Teenage Mutant Hero Turtles - Turtles in Time (2 Players ver EBA);Mame;tmnt2;1991;Konami;Fighter / 2.5D;;;;;0;;;;;
tmht22pe;Teenage Mutant Hero Turtles - Turtles in Time (2 Players ver. EBA);Final Burn Alpha;tmnt2;1991;Konami;;;;;;0;;;;;
tmht2p;Teenage Mutant Hero Turtles (UK 2 Players, set 1);Arcade;tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmht2p;Teenage Mutant Hero Turtles (UK 2 Players, set 1);Final Burn Alpha;tmnt;1989;Konami;;;;;;0;;;;;
tmht2p;Teenage Mutant Hero Turtles (UK 2 Players, set 1);MAME (Advance);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmht2p;Teenage Mutant Hero Turtles (UK 2 Players, set 1);MAME (Libretro);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmht2p;Teenage Mutant Hero Turtles (UK 2 Players, set 1);MAME (Mame4all);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmht2p;Teenage Mutant Hero Turtles (UK 2 Players, set 1);Mame;tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmht2pa;Teenage Mutant Hero Turtles (UK 2 Players, set 2);Arcade;tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmht2pa;Teenage Mutant Hero Turtles (UK 2 Players, set 2);Final Burn Alpha;tmnt;1989;Konami;;;;;;0;;;;;
tmht2pa;Teenage Mutant Hero Turtles (UK 2 Players, set 2);MAME (Advance);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmht2pa;Teenage Mutant Hero Turtles (UK 2 Players, set 2);MAME (Libretro);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmht2pa;Teenage Mutant Hero Turtles (UK 2 Players, set 2);MAME (Mame4all);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmht2pa;Teenage Mutant Hero Turtles (UK 2 Players, set 2);Mame;tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmht;Teenage Mutant Hero Turtles (UK 4 Players, set 1);Arcade;tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmht;Teenage Mutant Hero Turtles (UK 4 Players, set 1);Final Burn Alpha;tmnt;1989;Konami;;;;;;0;;;;;
tmht;Teenage Mutant Hero Turtles (UK 4 Players, set 1);MAME (Advance);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmht;Teenage Mutant Hero Turtles (UK 4 Players, set 1);MAME (Libretro);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmht;Teenage Mutant Hero Turtles (UK 4 Players, set 1);MAME (Mame4all);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmht;Teenage Mutant Hero Turtles (UK 4 Players, set 1);Mame;tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmhta;Teenage Mutant Hero Turtles (UK 4 Players, set 2);Arcade;tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmhta;Teenage Mutant Hero Turtles (UK 4 Players, set 2);Final Burn Alpha;tmnt;1989;Konami;;;;;;0;;;;;
tmhta;Teenage Mutant Hero Turtles (UK 4 Players, set 2);MAME (Advance);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmhta;Teenage Mutant Hero Turtles (UK 4 Players, set 2);MAME (Libretro);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmhta;Teenage Mutant Hero Turtles (UK 4 Players, set 2);MAME (Mame4all);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
