galaxiani;Galaxian (Irem);MAME (Advance);galaxian;1979;bootleg? (Irem);Shooter / Gallery;;;;;0;;;;;
galaxiani;Galaxian (Irem);MAME (Libretro);galaxian;1979;bootleg? (Irem);Shooter / Gallery;;;;;0;;;;;
galaxiani;Galaxian (Irem);MAME (Mame4all);galaxian;1979;bootleg? (Irem);Shooter / Gallery;;;;;0;;;;;
Galaxian (Japan) (Alt 1);Galaxian (Japan) (Alt 1);Microsoft MSX;;;;;;;;;0;;;;;
Galaxian (Japan) (Alt 2);Galaxian (Japan) (Alt 2);Microsoft MSX;;;;;;;;;0;;;;;
Galaxian (Japan);Galaxian (Japan);Microsoft MSX;;;;;;;;;0;;;;;
Galaxian (Japan);Galaxian (Japan);Nintendo Famicom;;1984;Namco;Shoot-'Em-Up;;;;;0;;;;;
Galaxian (Japan);Galaxian (Japan);Nintendo Famicom Disk System;;1990;Namco Ltd.;Shooter;;;;;0;;;;;
galaxianm;Galaxian (Midway set 1);Arcade;galaxian;1979;Namco (Midway license);Shooter / Gallery;;;;;0;;;;;
galaxianm;Galaxian (Midway set 1);Final Burn Alpha;galaxian;1979;Namco (Midway license);;;;;;0;;;;;
galaxianm;Galaxian (Midway set 1);MAME (Advance);galaxian;1979;Namco (Midway license);Shooter / Gallery;;;;;0;;;;;
galaxianm;Galaxian (Midway set 1);MAME (Libretro);galaxian;1979;Namco (Midway license);Shooter / Gallery;;;;;0;;;;;
galaxianm;Galaxian (Midway set 1);MAME (Mame4all);galaxian;1979;Namco (Midway license);Shooter / Gallery;;;;;0;;;;;
galaxianmo;Galaxian (Midway set 2);Arcade;galaxian;1979;Namco (Midway license);Shooter / Gallery;;;;;0;;;;;
galaxianmo;Galaxian (Midway set 2);Final Burn Alpha;galaxian;1979;Namco (Midway license);;;;;;0;;;;;
galaxianmo;Galaxian (Midway set 2);MAME (Advance);galaxian;1979;Namco (Midway license);Shooter / Gallery;;;;;0;;;;;
galaxianmo;Galaxian (Midway set 2);MAME (Libretro);galaxian;1979;Namco (Midway license);Shooter / Gallery;;;;;0;;;;;
galaxianmo;Galaxian (Midway set 2);MAME (Mame4all);galaxian;1979;Namco (Midway license);Shooter / Gallery;;;;;0;;;;;
Galaxian of Xiabex (Europe) (Unl);Galaxian of Xiabex (Europe) (Unl);Commodore 64;;2014;The New Dimension (TND);Shoot-'Em-Up;;;;;0;;;;;
Galaxians (Europe);Galaxians (Europe);Sinclair ZX Spectrum;;1982;Artic Computing;Shooter;;;;;0;;;;;
galaxiant;Galaxian (Taito);Arcade;galaxian;1979;Namco (Taito license);Shooter / Gallery;;;;;0;;;;;
galaxiant;Galaxian (Taito);Final Burn Alpha;galaxian;1979;Namco (Taito license);;;;;;0;;;;;
galaxiant;Galaxian (Taito);MAME (Advance);galaxian;1979;Namco (Taito license);Shooter / Gallery;;;;;0;;;;;
galaxiant;Galaxian (Taito);MAME (Libretro);galaxian;1979;Namco (Taito license);Shooter / Gallery;;;;;0;;;;;
galaxiant;Galaxian (Taito);MAME (Mame4all);galaxian;1979;Namco (Taito license);Shooter / Gallery;;;;;0;;;;;
Galaxian (USA);Galaxian (USA);Atari 2600;;1983;Atari - GCC;Shoot-'Em-Up;;;;;0;;;;;
Galaxian (USA);Galaxian (USA);Atari 5200;;1982;Atari;Shooter;;;;;0;;;;;
Galaxian (USA);Galaxian (USA);ColecoVision;;1983;Namco Limited;Shooter;;;;;0;;;;;
Galaxian (USA);Galaxian (USA);Commodore 64;;1984;Atarisoft;Shoot-'Em-Up;;;;;0;;;;;
galaxrf;Galaxian (Recreativos Franco S.A. Spanish bootleg);Arcade;galaxian;1980;bootleg (Recreativos Franco S.A.);Shooter / Gallery;;;;;0;;;;;
galaxrf;Galaxian (Recreativos Franco S.A. Spanish bootleg);Final Burn Alpha;galaxian;1980;bootleg (Recreativos Franco S.A.);;;;;;0;;;;;
galaxrf;Galaxian (Recreativos Franco S.A. Spanish bootleg);MAME (Advance);galaxian;1980;bootleg (Recreativos Franco S.A.);Shooter / Gallery;;;;;0;;;;;
galaxrf;Galaxian (Recreativos Franco S.A. Spanish bootleg);MAME (Libretro);galaxian;1980;bootleg (Recreativos Franco S.A.);Shooter / Gallery;;;;;0;;;;;
galaxrf;Galaxian (Recreativos Franco S.A. Spanish bootleg);MAME (Mame4all);galaxian;1980;bootleg (Recreativos Franco S.A.);Shooter / Gallery;;;;;0;;;;;
galaxrfgg;Galaxian Growing Galaxip / Galaxian Nave Creciente (Recreativos Franco S.A. Spanish bootleg);Arcade;galaxian;1980;bootleg (Recreativos Franco S.A.);Shooter / Gallery;;;;;0;;;;;
galaxrfgg;Galaxian Growing Galaxip / Galaxian Nave Creciente (Recreativos Franco S.A. Spanish bootleg);Final Burn Alpha;galaxian;1980;bootleg (Recreativos Franco S.A.);;;;;;0;;;;;
