gauntlet2p;Gauntlet (2 Players, rev 6);Final Burn Alpha;gauntlet;1985;Atari Games;;;;;;0;;;;;
gauntlet2p;Gauntlet (2 Players, rev 6);MAME (Advance);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlet2p;Gauntlet (2 Players, rev 6);MAME (Libretro);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlet2p;Gauntlet (2 Players, rev 6);MAME (Mame4all);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlet2pg;Gauntlet (2 Players, German, rev 4);Arcade;gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlet2pg;Gauntlet (2 Players, German, rev 4);Final Burn Alpha;gauntlet;1985;Atari Games;;;;;;0;;;;;
gauntlet2pg;Gauntlet (2 Players, German, rev 4);MAME (Advance);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlet2pg;Gauntlet (2 Players, German, rev 4);MAME (Libretro);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlet2pg;Gauntlet (2 Players, German, rev 4);MAME (Mame4all);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlet2pj2;Gauntlet (2 Players, Japanese, rev 2);Arcade;gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlet2pj2;Gauntlet (2 Players, Japanese rev 2);Final Burn Alpha;gauntlet;1985;Atari Games;;;;;;0;;;;;
gauntlet2pj2;Gauntlet (2 Players, Japanese, rev 2);MAME (Advance);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlet2pj2;Gauntlet (2 Players, Japanese, rev 2);MAME (Libretro);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlet2pj2;Gauntlet (2 Players, Japanese, rev 2);MAME (Mame4all);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlet2pj;Gauntlet (2 Players, Japanese, rev 5);Arcade;gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlet2pj;Gauntlet (2 Players, Japanese, rev 5);Final Burn Alpha;gauntlet;1985;Atari Games;;;;;;0;;;;;
gauntlet2pj;Gauntlet (2 Players, Japanese, rev 5);MAME (Advance);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlet2pj;Gauntlet (2 Players, Japanese, rev 5);MAME (Libretro);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlet2pj;Gauntlet (2 Players, Japanese, rev 5);MAME (Mame4all);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlet2pr3;Gauntlet (2 Players, rev 3);Arcade;gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlet2pr3;Gauntlet (2 Players, rev 3);Final Burn Alpha;gauntlet;1985;Atari Games;;;;;;0;;;;;
gauntlet2pr3;Gauntlet (2 Players, rev 3);MAME (Advance);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlet2pr3;Gauntlet (2 Players, rev 3);MAME (Libretro);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlet2pr3;Gauntlet (2 Players, rev 3);MAME (Mame4all);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
Gauntlet2_v1.14_0182;Gauntlet II;Commodore Amiga;;;;;;;;;0;;;;;
Gauntlet3_v1.2_1550;Gauntlet III - The Final Quest;Commodore Amiga;;;;;;;;;0;;;;;
Gauntlet - Dark Legacy (USA);Gauntlet - Dark Legacy (USA);Nintendo Game Boy Advance;;2002;Midway;Beat-'Em-Up;;;;;0;;;;;
Gauntlet (Europe);Gauntlet (Europe);Atari ST;;1985;US Gold;Action;;;;;0;;;;;
Gauntlet (Europe);Gauntlet (Europe);Sega Master System;;1990;U.S. Gold;Action;;;;;0;;;;;
Gauntlet (Europe);Gauntlet (Europe);Sinclair ZX Spectrum;;1987;Kixx;Maze;;;;;0;;;;;
gauntlet;Gauntlet (rev 14);Arcade;;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlet;Gauntlet (rev 14);Final Burn Alpha;;1985;Atari Games;;;;;;0;;;;;
gauntlet;Gauntlet (rev 14);MAME (Advance);;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlet;Gauntlet (rev 14);MAME (Libretro);;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlet;Gauntlet (rev 14);MAME (Mame4all);;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletg;Gauntlet (German, rev 10);Arcade;gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletg;Gauntlet (German, rev 10);Final Burn Alpha;gauntlet;1985;Atari Games;;;;;;0;;;;;
gauntletg;Gauntlet (German, rev 10);MAME (Advance);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletg;Gauntlet (German, rev 10);MAME (Libretro);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletg;Gauntlet (German, rev 10);MAME (Mame4all);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletgr3;Gauntlet (German, rev 3);Arcade;gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletgr3;Gauntlet (German, rev 3);Final Burn Alpha;gauntlet;1985;Atari Games;;;;;;0;;;;;
gauntletgr3;Gauntlet (German, rev 3);MAME (Advance);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletgr3;Gauntlet (German, rev 3);MAME (Libretro);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletgr3;Gauntlet (German, rev 3);MAME (Mame4all);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletgr6;Gauntlet (German, rev 6);Arcade;gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletgr6;Gauntlet (German, rev 6);Final Burn Alpha;gauntlet;1985;Atari Games;;;;;;0;;;;;
gauntletgr6;Gauntlet (German, rev 6);MAME (Advance);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletgr6;Gauntlet (German, rev 6);MAME (Libretro);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletgr6;Gauntlet (German, rev 6);MAME (Mame4all);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletgr8;Gauntlet (German, rev 8);Arcade;gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletgr8;Gauntlet (German, rev 8);Final Burn Alpha;gauntlet;1985;Atari Games;;;;;;0;;;;;
gauntletgr8;Gauntlet (German, rev 8);MAME (Advance);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletgr8;Gauntlet (German, rev 8);MAME (Libretro);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletgr8;Gauntlet (German, rev 8);MAME (Mame4all);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
Gauntlet II (Europe);Gauntlet II (Europe);Amstrad CPC;;1988;U.S. Gold;Shoot-'Em-Up;;;;;0;;;;;
Gauntlet II (Europe);Gauntlet II (Europe);Atari ST;;1986;Atari Corp.;Action;;;;;0;;;;;
Gauntlet II (Europe);Gauntlet II (Europe);Sinclair ZX Spectrum;;1988;US Gold;Maze;;;;;0;;;;;
