Cool Boarders 2 (USA);Cool Boarders 2 (USA);Sony PlayStation;;1997;SCEA;Sports/Snowboarding;;;;;0;;;;;
Cool Boarders 2 (USA);Cool Boarders 2 (USA);Sony PSP;;1997;SCEA;Sports/Snowboarding;;;;;0;;;;;
Cool Boarders 3 (USA);Cool Boarders 3 (USA);Sony PlayStation;;1998;989 Studios;Sports/Snowboarding;;;;;0;;;;;
Cool Boarders 3 (USA);Cool Boarders 3 (USA);Sony PSP;;1998;989 Studios;Sports/Snowboarding;;;;;0;;;;;
Cool Boarders 4 (USA);Cool Boarders 4 (USA);Sony PlayStation;;1999;989 Studios;Sports/Snowboarding;;;;;0;;;;;
Cool Boarders 4 (USA);Cool Boarders 4 (USA);Sony PSP;;1999;989 Studios;Sports/Snowboarding;;;;;0;;;;;
Cool Boarders (USA);Cool Boarders (USA);Sony PlayStation;;1997;SCEA;Sports/Snowboarding;;;;;0;;;;;
Cool Boarders (USA);Cool Boarders (USA);Sony PSP;;1997;SCEA;Sports/Snowboarding;;;;;0;;;;;
Downhill Challenge (USA);Downhill Challenge (USA);Commodore 64;;1988;Brøderbund;Sports/Skiing;;;;;0;;;;;
Downhill Champion (Europe);Downhill Champion (Europe);Sinclair ZX Spectrum;;1988;Lambourne Games;Sports/Skiing;;;;;0;;;;;
Downhill Racer-64 (USA);Downhill Racer-64 (USA);Commodore 64;;1983;NET Software Ltd.;Sports/Skiing;;;;;0;;;;;
Downhill - Ski Jump (Europe);Downhill - Ski Jump (Europe);Commodore 64;;1984;Cascade Games Ltd.;Sports/Skiing;;;;;0;;;;;
Dynamite Skier (USA);Dynamite Skier (USA);Commodore 64;;1983;HesWare (Human Engineered Software);Sports/Skiing;;;;;0;;;;;
dynamski;Dynamic Ski;Arcade;;1984;Taiyo;Sports / Skiing;;;;;0;;;;;
dynamski;Dynamic Ski;Final Burn Alpha;;1984;Taiyo;Sports / Skiing;;;;;0;;;;;
dynamski;Dynamic Ski;MAME (Advance);;1984;Taiyo;Sports / Skiing;;;;;0;;;;;
dynamski;Dynamic Ski;MAME (Libretro);;1984;Taiyo;Sports / Skiing;;;;;0;;;;;
dynamski;Dynamic Ski;MAME (Mame4all);;1984;Taiyo;Sports / Skiing;;;;;0;;;;;
Eddie Edwards Super Ski (Europe) (Disk 1);Eddie Edwards Super Ski (Europe) (Disk 1);Atari ST;;1988;Microids;Sports/Skiing;;;;;0;;;;;
Eddie Edwards Super Ski (Europe) (Disk 2);Eddie Edwards Super Ski (Europe) (Disk 2);Atari ST;;1988;Microids;Sports/Skiing;;;;;0;;;;;
Eddie Edwards' Super Ski (Europe);Eddie Edwards' Super Ski (Europe);Sinclair ZX Spectrum;;1989;Loriciels;Sports/Skiing;;;;;0;;;;;
extdwnhl;Extreme Downhill (v1.5);Arcade;;1995;Sammy Industries Japan;Sports / Skiing;;;;;0;;;;;
extdwnhl;Extreme Downhill (v1.5);Final Burn Alpha;;1995;Sammy Industries Japan;Sports / Skiing;;;;;0;;;;;
extdwnhl;Extreme Downhill (v1.5);MAME (Advance);;1995;Sammy Industries Japan;Sports / Skiing;;;;;0;;;;;
extdwnhl;Extreme Downhill (v1.5);MAME (Libretro);;1995;Sammy Industries Japan;Sports / Skiing;;;;;0;;;;;
extdwnhl;Extreme Downhill (v1.5);MAME (Mame4all);;1995;Sammy Industries Japan;Sports / Skiing;;;;;0;;;;;
Extreme Snow Break (Europe);Extreme Snow Break (Europe);Sony PlayStation;;1998;Microids;Sports/Snowboarding;;;;;0;;;;;
Extreme Snow Break (Europe);Extreme Snow Break (Europe);Sony PSP;;1998;Microids;Sports/Snowboarding;;;;;0;;;;;
Freestyle Boardin' '99 (USA);Freestyle Boardin' '99 (USA);Sony PlayStation;;1999;Capcom;Sports/Snowboarding;;;;;0;;;;;
Freestyle Boardin' '99 (USA);Freestyle Boardin' '99 (USA);Sony PSP;;1999;Capcom;Sports/Snowboarding;;;;;0;;;;;
Heavy Shreddin' (USA);Heavy Shreddin' (USA);Nintendo Entertainment System;;1990;Parker Bros.;Sports/Snowboarding;;;;;0;;;;;
Mogul Maniac (USA);Mogul Maniac (USA);Atari 2600;;1983;Amiga;Sports/Skiing;;;;;0;;;;;
MTV Sports - Pure Ride (USA);MTV Sports - Pure Ride (USA);Sony PlayStation;;2000;THQ;Sports/Snowboarding;;;;;0;;;;;
MTV Sports - Pure Ride (USA);MTV Sports - Pure Ride (USA);Sony PSP;;2000;THQ;Sports/Snowboarding;;;;;0;;;;;
MTV Sports - Snowboarding (USA);MTV Sports - Snowboarding (USA);Sony PlayStation;;1999;THQ;Sports/Snowboarding;;;;;0;;;;;
MTV Sports - Snowboarding (USA);MTV Sports - Snowboarding (USA);Sony PSP;;1999;THQ;Sports/Snowboarding;;;;;0;;;;;
newtangl;New Tropical Angel;Arcade;troangel;1983;Irem;Sports / Skiing;;;;;0;;;;;
newtangl;New Tropical Angel;Arcade;troangel;1983;Irem;Sports/Skiing;;;;;0;;;;;
newtangl;New Tropical Angel;Final Burn Alpha;troangel;1983;Irem;Sports/Skiing;;;;;0;;;;;
newtangl;New Tropical Angel;MAME (Advance);troangel;1983;Irem;Sports / Skiing;;;;;0;;;;;
newtangl;New Tropical Angel;MAME (Advance);troangel;1983;Irem;Sports/Skiing;;;;;0;;;;;
newtangl;New Tropical Angel;MAME (Libretro);troangel;1983;Irem;Sports / Skiing;;;;;0;;;;;
newtangl;New Tropical Angel;MAME (Libretro);troangel;1983;Irem;Sports/Skiing;;;;;0;;;;;
newtangl;New Tropical Angel;MAME (Mame4all);troangel;1983;Irem;Sports / Skiing;;;;;0;;;;;
newtangl;New Tropical Angel;MAME (Mame4all);troangel;1983;Irem;Sports/Skiing;;;;;0;;;;;
Olympic Skier (Europe);Olympic Skier (Europe);Commodore 64;;1984;Mr. Chip Software;Sports/Skiing;;;;;0;;;;;
Phat Air - Extreme Snowboarding (Europe);Phat Air - Extreme Snowboarding (Europe);Sony PlayStation;;1998;Funsoft;Sports/Snowboarding;;;;;0;;;;;
Phat Air - Extreme Snowboarding (Europe);Phat Air - Extreme Snowboarding (Europe);Sony PSP;;1998;Funsoft;Sports/Snowboarding;;;;;0;;;;;
Professional Ski Simulator (Europe);Professional Ski Simulator (Europe);Commodore 64;;1988;Codemasters;Sports/Skiing;;;;;0;;;;;
Professional Ski Simulator (Europe);Professional Ski Simulator (Europe);Sinclair ZX Spectrum;;1987;Codemasters;Sports/Skiing;;;;;0;;;;;
Psybadek (USA);Psybadek (USA);Sony PlayStation;;1998;Psygnosis;Sports/Snowboarding;;;;;0;;;;;
Psybadek (USA);Psybadek (USA);Sony PSP;;1998;Psygnosis;Sports/Snowboarding;;;;;0;;;;;
pturn;Parallel Turn;Arcade;;1984;Jaleco;Sports / Skiing;;;;;0;;;;;
pturn;Parallel Turn;Final Burn Alpha;;1984;Jaleco;Sports / Skiing;;;;;0;;;;;
pturn;Parallel Turn;MAME (Advance);;1984;Jaleco;Sports / Skiing;;;;;0;;;;;
pturn;Parallel Turn;MAME (Libretro);;1984;Jaleco;Sports / Skiing;;;;;0;;;;;
pturn;Parallel Turn;MAME (Mame4all);;1984;Jaleco;Sports / Skiing;;;;;0;;;;;
Rollerblade Racer (USA);Rollerblade Racer (USA);Nintendo Entertainment System;;1993;Hi-Tech;Sports/Skiing;;;;;0;;;;;
RTL Skispringen 2002 (Germany);RTL Skispringen 2002 (Germany);Sony PlayStation;;2001;THQ;Sports/Skiing;;;;;0;;;;;
RTL Skispringen 2002 (Germany);RTL Skispringen 2002 (Germany);Sony PSP;;2001;THQ;Sports/Skiing;;;;;0;;;;;
silvland;Silver Land;Arcade;rpatrol;1981;Falcon;Sports / Skiing;;;;;0;;;;;
silvland;Silver Land;Final Burn Alpha;rpatrol;1981;Falcon;Sports / Skiing;;;;;0;;;;;
silvland;Silver Land;MAME (Advance);rpatrol;1981;Falcon;Sports / Skiing;;;;;0;;;;;
