9ballsht3;9-Ball Shootout (set 3);MAME (Libretro);9ballsht;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballsht3;9-Ball Shootout (set 3);MAME (Mame4all);9ballsht;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballsht;9-Ball Shootout (set 1);Arcade;;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballsht;9-Ball Shootout (set 1);Final Burn Alpha;;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballsht;9-Ball Shootout (set 1);MAME (Advance);;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballsht;9-Ball Shootout (set 1);MAME (Libretro);;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballsht;9-Ball Shootout (set 1);MAME (Mame4all);;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballshtc;9-Ball Shootout Championship;Arcade;9ballsht;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballshtc;9-Ball Shootout Championship;Final Burn Alpha;9ballsht;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballshtc;9-Ball Shootout Championship;MAME (Advance);9ballsht;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballshtc;9-Ball Shootout Championship;MAME (Libretro);9ballsht;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballshtc;9-Ball Shootout Championship;MAME (Mame4all);9ballsht;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
Alex Higgins World Pool (Europe);Alex Higgins World Pool (Europe);Amstrad CPC;;1985;Amsoft;Sports/Pool and Dart;;;;;0;;;;;
Alex Higgins World Snooker (Europe);Alex Higgins World Snooker (Europe);Amstrad CPC;;1985;Amsoft;Sports/Pool and Dart;;;;;0;;;;;
American 3D Pool (Europe);American 3D Pool (Europe);Commodore 64;;1991;Zeppelin Games;Sports/Pool and Dart;;;;;0;;;;;
