#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan);70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan);Sony PlayStation;;;;;;;;;;;;;
Raiden Project, The (USA);Raiden Project, The (USA);Sony PlayStation;;1995;Sony;Shooter;2;;;;;;;;
RayStorm (USA);RayStorm (USA);Sony PlayStation;;1997;Spaz (Working Designs);Shooter;2;;;;;;;;
Raycrisis - Series Termination (USA);Raycrisis - Series Termination (USA);Sony PlayStation;;2000;Working Designs;Action / Shooter;1;;;;;;;;
Salamander Deluxe Pack Plus (Japan);Salamander Deluxe Pack Plus (Japan);Sony PlayStation;;1997;Konami;Action / Shooter;2;;;;;;;;
Sexy Parodius (Japan);Sexy Parodius (Japan);Sony PlayStation;;1996;Konami;Adventure / Shooter;2;;;;;;;;
Sol Divide (USA);Sol Divide (USA);Sony PlayStation;;2003;XS Games;Fighting;2;;;;;;;;
Soukyuu Gurentai - Oubushutsugeki (Japan);Soukyuu Gurentai - Oubushutsugeki (Japan);Sony PlayStation;;;;;;;;;;;;;
Space Invaders (USA);Space Invaders (USA);Sony PlayStation;;1999;Activision;Action;;;;;;;;;
Space Shot (USA);Space Shot (USA);Sony PlayStation;;2001;A1 Games;;;;;;;;;;
Stahlfeder (Japan);Stahlfeder (Japan);Sony PlayStation;;;;;;;;;;;;;
Starfighter Sanvein (USA);Starfighter Sanvein (USA);Sony PlayStation;;;;;;;;;;;;;
Strikers 1945 (USA);Strikers 1945 (USA);Sony PlayStation;;2001;Agetec;Action;2;;;;;;;;
Strikers 1945 II (Japan);Strikers 1945 II (Japan);Sony PlayStation;;;Psikyo;Action / Shooter;1;;;;;;;;
Tempest X3 (USA);Tempest X3 (USA);Sony PlayStation;;1996;Interplay;Action;;;;;;;;;
Thunder Force V - Perfect System (USA);Thunder Force V - Perfect System (USA);Sony PlayStation;;1998;Working Designs;Shooter;1;;;;;;;;
Time Bokan - Yattaman (Japan);Time Bokan - Yattaman (Japan);Sony PlayStation;;;;;;;;;;;;;
Toaplan Shooting Battle 1 (Japan);Toaplan Shooting Battle 1 (Japan);Sony PlayStation;;;;;;;;;;;;;
Viewpoint (USA);Viewpoint (USA);Sony PlayStation;;1995;Electronic Arts;Shooter;2;;;;;;;;
X2 - No Relief (Europe);X2 - No Relief (Europe);Sony PlayStation;;;;;;;;;;;;;
Xevious 3D-G+ (USA);Xevious 3D-G+ (USA);Sony PlayStation;;1997;Namco;Shooter;2;;;;;;;;
Zanac X Zanac (Japan);Zanac X Zanac (Japan);Sony PlayStation;;;Compile;Shooter;;;;;;;;;
