Boulder Dash - Rocks! (Europe) (En,Fr,De,Es,It);Boulder Dash - Rocks!;Nintendo DS;;;;;;;;;0;;;;;
Boulder Dash (USA);Boulder Dash (USA);Atari ST;;1986;First Star Software;Action;;;;;0;;;;;
Boulder Dash (USA);Boulder Dash (USA);ColecoVision;;1984;Micro Fun;Action;;;;;0;;;;;
Boulder Dash (USA);Boulder Dash (USA);Commodore 64;;1984;First Star Software;Action;;;;;0;;;;;
Boulder Dash (USA);Boulder Dash (USA);Nintendo Entertainment System;;1990;JVC Digital Studios;Puzzle;;;;;0;;;;;
Boulder Dash (USA) (Unl);Boulder Dash (USA) (Unl);Atari 2600;;2011;AtariAge - Andrew Davie & Thomas Jentzsch ;Action;;;;;0;;;;;
Boulder Dash V (Europe) (Unl);Boulder Dash V (Europe) (Unl);Commodore 64;;1987;Peter Liepa;Action;;;;;0;;;;;
Boulder Dash VI (Europe);Boulder Dash VI (Europe);Amstrad CPC;;1986;Hi-Tec Software;Action;;;;;0;;;;;
cbdash;Boulder Dash (DECO Cassette);Arcade;;1985;Data East Corporation;Maze;;;;;0;;;;;
cbdash;Boulder Dash (DECO Cassette);Arcade;;1985;Data East Corporation;Maze / Digging;;;;;0;;;;;
cbdash;Boulder Dash (DECO Cassette);Final Burn Alpha;;1985;Data East Corporation;Maze;;;;;0;;;;;
cbdash;Boulder Dash (DECO Cassette);MAME (Advance);;1985;Data East Corporation;Maze;;;;;0;;;;;
cbdash;Boulder Dash (DECO Cassette);MAME (Advance);;1985;Data East Corporation;Maze / Digging;;;;;0;;;;;
cbdash;Boulder Dash (DECO Cassette);MAME (Libretro);;1985;Data East Corporation;Maze;;;;;0;;;;;
cbdash;Boulder Dash (DECO Cassette);MAME (Libretro);;1985;Data East Corporation;Maze / Digging;;;;;0;;;;;
cbdash;Boulder Dash (DECO Cassette);MAME (Mame4all);;1985;Data East Corporation;Maze;;;;;0;;;;;
cbdash;Boulder Dash (DECO Cassette);MAME (Mame4all);;1985;Data East Corporation;Maze / Digging;;;;;0;;;;;
mf_bdash;Boulder Dash (Max-A-Flex);Arcade;;1984;Exidy / First Star Software;Maze / Digging;;;;;0;;;;;
mf_bdash;Boulder Dash (Max-A-Flex);Final Burn Alpha;;1984;Exidy / First Star Software;Maze / Digging;;;;;0;;;;;
mf_bdash;Boulder Dash (Max-A-Flex);MAME (Advance);;1984;Exidy / First Star Software;Maze / Digging;;;;;0;;;;;
mf_bdash;Boulder Dash (Max-A-Flex);MAME (Libretro);;1984;Exidy / First Star Software;Maze / Digging;;;;;0;;;;;
mf_bdash;Boulder Dash (Max-A-Flex);MAME (Mame4all);;1984;Exidy / First Star Software;Maze / Digging;;;;;0;;;;;
New-Boulderdash 01 (USA) (Unl);New-Boulderdash 01 (USA) (Unl);Commodore 64;;1990;Peter Liepa & Prof. Knibble;Action;;;;;0;;;;;
