12in1;12 in 1;Final Burn Alpha;;199?;unlicensed;;;;;;0;;;;;
19xxh;19XX The War Against Destiny (Hispanic 951218);Arcade;19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xxh;19XX The War Against Destiny (Hispanic 951218);MAME (Advance);19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xxh;19XX The War Against Destiny (Hispanic 951218);MAME (Libretro);19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xxh;19XX The War Against Destiny (Hispanic 951218);MAME (Mame4all);19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xxj;19XX - the war against destiny (960104 Japan, yellow case);Final Burn Alpha;19xx;1996;Capcom;;;;;;0;;;;;
19xxj;19XX The War Against Destiny (Japan 960104, yellow case);Arcade;19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xxj;19XX The War Against Destiny (Japan 960104, yellow case);MAME (Advance);19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xxj;19XX The War Against Destiny (Japan 960104, yellow case);MAME (Libretro);19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xxj;19XX The War Against Destiny (Japan 960104, yellow case);MAME (Mame4all);19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xxjr1;19XX - the war against destiny (951225 Japan);Final Burn Alpha;19xx;1995;Capcom;;;;;;0;;;;;
19xxjr1;19XX The War Against Destiny (Japan 951225);Arcade;19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xxjr1;19XX The War Against Destiny (Japan 951225);MAME (Advance);19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xxjr1;19XX The War Against Destiny (Japan 951225);MAME (Libretro);19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xxjr1;19XX The War Against Destiny (Japan 951225);MAME (Mame4all);19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xxjr2;19XX - the war against destiny (951207 Japan);Final Burn Alpha;19xx;1995;Capcom;;;;;;0;;;;;
19xxjr2;19XX The War Against Destiny (Japan 951207);Arcade;19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xxjr2;19XX The War Against Destiny (Japan 951207);MAME (Advance);19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xxjr2;19XX The War Against Destiny (Japan 951207);MAME (Libretro);19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
