#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Centre Court Tennis (Europe);Centre Court Tennis (Europe);Nintendo 64;;;;;;;;;;;;;;;;;;
Chameleon Twist (USA);Chameleon Twist (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Chameleon Twist 2 (USA);Chameleon Twist 2 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Charlie Blast's Territory (USA);Charlie Blast's Territory (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Chopper Attack (USA);Chopper Attack (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Clay Fighter - Sculptor's Cut (USA);Clay Fighter - Sculptor's Cut (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Clay Fighter 63 1-3 (USA);Clay Fighter 63 1-3 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Command & Conquer (USA);Command & Conquer (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Conker's Bad Fur Day (USA);Conker's Bad Fur Day (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Cruis'n Exotica (USA);Cruis'n Exotica (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Cruis'n USA (Europe);Cruis'n USA (Europe);Nintendo 64;;;;;;;;;;;;;;;;;;
Cruis'n USA (USA) (Rev B);Cruis'n USA (USA) (Rev B);Nintendo 64;;;;;;;;;;;;;;;;;;
Cruis'n World (USA);Cruis'n World (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
CyberTiger (USA);CyberTiger (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Dark Rift (USA);Dark Rift (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Deadly Arts (USA);Deadly Arts (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Destruction Derby 64 (Europe) (En,Fr,De);Destruction Derby 64 (Europe) (En,Fr,De);Nintendo 64;;;;;;;;;;;;;;;;;;
Destruction Derby 64 (USA);Destruction Derby 64 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Diddy Kong Racing (USA) (En,Fr) (Rev A);Diddy Kong Racing (USA) (En,Fr) (Rev A);Nintendo 64;;;;;;;;;;;;;;;;;;
Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It);Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It);Nintendo 64;;;;;;;;;;;;;;;;;;
Donkey Kong 64 (Europe) (En,Fr,De,Es);Donkey Kong 64 (Europe) (En,Fr,De,Es);Nintendo 64;;;;;;;;;;;;;;;;;;
Donkey Kong 64 (USA);Donkey Kong 64 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Doom 64 (Europe);Doom 64 (Europe);Nintendo 64;;;;;;;;;;;;;;;;;;
Doom 64 (USA) (Rev A);Doom 64 (USA) (Rev A);Nintendo 64;;;;;;;;;;;;;;;;;;
Dr. Mario 64 (USA);Dr. Mario 64 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Dual Heroes (USA);Dual Heroes (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es);Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es);Nintendo 64;;;;;;;;;;;;;;;;;;
Duke Nukem - Zero Hour (France);Duke Nukem - Zero Hour (France);Nintendo 64;;;;;;;;;;;;;;;;;;
Duke Nukem - Zero Hour (USA);Duke Nukem - Zero Hour (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Duke Nukem 64 (Europe);Duke Nukem 64 (Europe);Nintendo 64;;;;;;;;;;;;;;;;;;
Duke Nukem 64 (USA);Duke Nukem 64 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
ECW Hardcore Revolution (USA);ECW Hardcore Revolution (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Earthworm Jim 3D (Europe) (En,Fr,De,Es,It);Earthworm Jim 3D (Europe) (En,Fr,De,Es,It);Nintendo 64;;;;;;;;;;;;;;;;;;
Earthworm Jim 3D (USA);Earthworm Jim 3D (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Elmo's Letter Adventure (USA);Elmo's Letter Adventure (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Elmo's Number Journey (USA);Elmo's Number Journey (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Excitebike 64 (Europe);Excitebike 64 (Europe);Nintendo 64;;;;;;;;;;;;;;;;;;
Excitebike 64 (USA);Excitebike 64 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Extreme-G (Europe) (En,Fr,De,Es,It);Extreme-G (Europe) (En,Fr,De,Es,It);Nintendo 64;;;;;;;;;;;;;;;;;;
Extreme-G (USA);Extreme-G (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Extreme-G XG2 (Europe) (En,Fr,De,Es,It);Extreme-G XG2 (Europe) (En,Fr,De,Es,It);Nintendo 64;;;;;;;;;;;;;;;;;;
Extreme-G XG2 (USA);Extreme-G XG2 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
F-1 World Grand Prix (USA);F-1 World Grand Prix (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
F-1 World Grand Prix II (Europe) (En,Fr,De,Es);F-1 World Grand Prix II (Europe) (En,Fr,De,Es);Nintendo 64;;;;;;;;;;;;;;;;;;
F-Zero X (Europe);F-Zero X (Europe);Nintendo 64;;;;;;;;;;;;;;;;;;
F-Zero X (USA);F-Zero X (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
F1 Pole Position 64 (USA) (En,Fr,De);F1 Pole Position 64 (USA) (En,Fr,De);Nintendo 64;;;;;;;;;;;;;;;;;;
F1 Racing Championship (Europe) (En,Fr,De,Es,It);F1 Racing Championship (Europe) (En,Fr,De,Es,It);Nintendo 64;;;;;;;;;;;;;;;;;;
FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv);FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv);Nintendo 64;;;;;;;;;;;;;;;;;;
FIFA 99 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv);FIFA 99 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv);Nintendo 64;;;;;;;;;;;;;;;;;;
FIFA Soccer 64 (USA) (En,Fr,De);FIFA Soccer 64 (USA) (En,Fr,De);Nintendo 64;;;;;;;;;;;;;;;;;;
Fighter Destiny 2 (USA);Fighter Destiny 2 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Fighters Destiny (USA);Fighters Destiny (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Fighting Force 64 (USA);Fighting Force 64 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Flying Dragon (USA);Flying Dragon (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Forsaken 64 (Europe) (En,Fr,Es,It);Forsaken 64 (Europe) (En,Fr,Es,It);Nintendo 64;;;;;;;;;;;;;;;;;;
Forsaken 64 (USA);Forsaken 64 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Fox Sports College Hoops '99 (USA);Fox Sports College Hoops '99 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
GT64 - Championship Edition (USA);GT64 - Championship Edition (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Gauntlet Legends (Europe);Gauntlet Legends (Europe);Nintendo 64;;;;;;;;;;;;;;;;;;
Gauntlet Legends (USA);Gauntlet Legends (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Gex 3 - Deep Cover Gecko (USA);Gex 3 - Deep Cover Gecko (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
