backfirea;Backfire! (set 2);MAME (Libretro);backfire;1995;Data East Corporation;Driving / Race;;;;;0;;;;;
backfirea;Backfire! (set 2);MAME (Mame4all);backfire;1995;Data East Corporation;Driving / Race;;;;;0;;;;;
backfire;Backfire! (set 1);Arcade;;1995;Data East Corporation;Driving / Race;;;;;0;;;;;
backfire;Backfire! (set 1);MAME (Advance);;1995;Data East Corporation;Driving / Race;;;;;0;;;;;
backfire;Backfire! (set 1);MAME (Libretro);;1995;Data East Corporation;Driving / Race;;;;;0;;;;;
backfire;Backfire! (set 1);MAME (Mame4all);;1995;Data East Corporation;Driving / Race;;;;;0;;;;;
badlands;Bad Lands;Arcade;;1989;Atari Games;Driving / Race Track;;;;;0;;;;;
badlands;Bad Lands;MAME (Advance);;1989;Atari Games;Driving / Race Track;;;;;0;;;;;
badlands;Bad Lands;MAME (Libretro);;1989;Atari Games;Driving / Race Track;;;;;0;;;;;
badlands;Bad Lands;MAME (Mame4all);;1989;Atari Games;Driving / Race Track;;;;;0;;;;;
Banger Racer (Europe);Banger Racer (Europe);Amstrad CPC;;1990;Cult;Driving;;;;;0;;;;;
Banger Racer (Europe);Banger Racer (Europe);Commodore 64;;1991;Cult Games;Driving;;;;;0;;;;;
Banger Racer (Europe);Banger Racer (Europe);Sinclair ZX Spectrum;;1990;Cult Games;Driving;;;;;0;;;;;
Banishing Racer (Japan);Banishing Racer (Japan);Nintendo Game Boy;;1991;Jaleco Entertainment;Driving;;;;;0;;;;;
Batman - Gotham City Racer (USA);Batman - Gotham City Racer (USA);Sony PlayStation;;2001;Ubisoft;Driving;;;;;0;;;;;
Batman - Gotham City Racer (USA);Batman - Gotham City Racer (USA);Sony PSP;;2001;Ubisoft;Driving;;;;;0;;;;;
Battle Racers (Japan);Battle Racers (Japan);Nintendo Super Famicom;;1995;Minato Giken;Driving;;;;;0;;;;;
BC Racers (USA);BC Racers (USA);Sega 32X;;1995;Front Street Publishing;Driving;;;;;0;;;;;
BC Racers (USA);BC Racers (USA);Sega CD;;1994;Time Warner Interactive;Driving;;;;;0;;;;;
BC Racers (USA, Europe);BC Racers (USA, Europe);Panasonic 3DO;;1995;Goldstar;Driving;;;;;0;;;;;
bigrun;Big Run (11th Rallye version);Arcade;;1989;Jaleco;Driving / Race (chase view);;;;;0;;;;;
bigrun;Big Run (11th Rallye version);Final Burn Alpha;;1989;Jaleco;Driving / Race (chase view);;;;;0;;;;;
bigrun;Big Run (11th Rallye version);MAME (Advance);;1989;Jaleco;Driving / Race (chase view);;;;;0;;;;;
bigrun;Big Run (11th Rallye version);MAME (Libretro);;1989;Jaleco;Driving / Race (chase view);;;;;0;;;;;
bigrun;Big Run (11th Rallye version);MAME (Mame4all);;1989;Jaleco;Driving / Race (chase view);;;;;0;;;;;
blmbycar;Blomby Car;Arcade;;1994;ABM & Gecas;Driving / Race;;;;;0;;;;;
blmbycar;Blomby Car;Final Burn Alpha;;1994;ABM & Gecas;Driving / Race;;;;;0;;;;;
blmbycar;Blomby Car;MAME (Advance);;1994;ABM & Gecas;Driving / Race;;;;;0;;;;;
blmbycar;Blomby Car;MAME (Libretro);;1994;ABM & Gecas;Driving / Race;;;;;0;;;;;
blmbycar;Blomby Car;MAME (Mame4all);;1994;ABM & Gecas;Driving / Race;;;;;0;;;;;
blmbycaru;Blomby Car (not encrypted);Arcade;blmbycar;1994;ABM & Gecas;Driving / Race;;;;;0;;;;;
blmbycaru;Blomby Car (not encrypted);Final Burn Alpha;blmbycar;1994;ABM & Gecas;Driving / Race;;;;;0;;;;;
blmbycaru;Blomby Car (not encrypted);MAME (Advance);blmbycar;1994;ABM & Gecas;Driving / Race;;;;;0;;;;;
blmbycaru;Blomby Car (not encrypted);MAME (Libretro);blmbycar;1994;ABM & Gecas;Driving / Race;;;;;0;;;;;
blmbycaru;Blomby Car (not encrypted);MAME (Mame4all);blmbycar;1994;ABM & Gecas;Driving / Race;;;;;0;;;;;
Blob Race (Europe) (Unl);Blob Race (Europe) (Unl);Atari ST;;1994;Chaos Software;Driving;;;;;0;;;;;
BMX Racers (Europe);BMX Racers (Europe);Commodore 64;;1984;Mastertronic;Driving;;;;;0;;;;;
BMX Racers (Europe);BMX Racers (Europe);Sinclair ZX Spectrum;;1984;Mastertronic;Driving;;;;;0;;;;;
bnj;Bump 'n' Jump;Arcade;brubber;1982;Data East USA;Driving / Race;;;;;0;;;;;
bnj;Bump 'n' Jump;MAME (Advance);brubber;1982;Data East USA;Driving / Race;;;;;0;;;;;
bnj;Bump 'n' Jump;MAME (Libretro);brubber;1982;Data East USA;Driving / Race;;;;;0;;;;;
bnj;Bump 'n' Jump;MAME (Mame4all);brubber;1982;Data East USA;Driving / Race;;;;;0;;;;;
bnjm;Bump 'n' Jump (Midway);Arcade;brubber;1982;Data East USA (Bally Midway license);Driving / Race;;;;;0;;;;;
bnjm;Bump 'n' Jump (Midway);MAME (Advance);brubber;1982;Data East USA (Bally Midway license);Driving / Race;;;;;0;;;;;
bnjm;Bump 'n' Jump (Midway);MAME (Libretro);brubber;1982;Data East USA (Bally Midway license);Driving / Race;;;;;0;;;;;
bnjm;Bump 'n' Jump (Midway);MAME (Mame4all);brubber;1982;Data East USA (Bally Midway license);Driving / Race;;;;;0;;;;;
Bomberman Fantasy Race (USA);Bomberman Fantasy Race (USA);Sony PlayStation;;1999;Atlus;Driving;;;;;0;;;;;
Bomberman Fantasy Race (USA);Bomberman Fantasy Race (USA);Sony PSP;;1999;Atlus;Driving;;;;;0;;;;;
Boy Racer (Europe);Boy Racer (Europe);Amstrad CPC;;1987;Alligata Software;Driving;;;;;0;;;;;
brubber;Burnin' Rubber;Arcade;;1982;Data East;Driving / Race;;;;;0;;;;;
brubber;Burnin' Rubber;MAME (Advance);;1982;Data East;Driving / Race;;;;;0;;;;;
brubber;Burnin' Rubber;MAME (Libretro);;1982;Data East;Driving / Race;;;;;0;;;;;
brubber;Burnin' Rubber;MAME (Mame4all);;1982;Data East;Driving / Race;;;;;0;;;;;
buggyboy;Buggy Boy/Speed Buggy (cockpit);Arcade;;1985;Tatsumi;Driving / Race (chase view);;;;;0;;;;;
buggyboy;Buggy Boy/Speed Buggy (cockpit);Final Burn Alpha;;1985;Tatsumi;Driving / Race (chase view);;;;;0;;;;;
buggyboy;Buggy Boy/Speed Buggy (cockpit);MAME (Advance);;1985;Tatsumi;Driving / Race (chase view);;;;;0;;;;;
buggyboy;Buggy Boy/Speed Buggy (cockpit);MAME (Libretro);;1985;Tatsumi;Driving / Race (chase view);;;;;0;;;;;
buggyboy;Buggy Boy/Speed Buggy (cockpit);MAME (Mame4all);;1985;Tatsumi;Driving / Race (chase view);;;;;0;;;;;
buggyboyjr;Buggy Boy Junior/Speed Buggy (upright);Arcade;buggyboy;1986;Tatsumi;Driving / Race (chase view);;;;;0;;;;;
buggyboyjr;Buggy Boy Junior/Speed Buggy (upright);Final Burn Alpha;buggyboy;1986;Tatsumi;Driving / Race (chase view);;;;;0;;;;;
buggyboyjr;Buggy Boy Junior/Speed Buggy (upright);MAME (Advance);buggyboy;1986;Tatsumi;Driving / Race (chase view);;;;;0;;;;;
buggyboyjr;Buggy Boy Junior/Speed Buggy (upright);MAME (Libretro);buggyboy;1986;Tatsumi;Driving / Race (chase view);;;;;0;;;;;
buggyboyjr;Buggy Boy Junior/Speed Buggy (upright);MAME (Mame4all);buggyboy;1986;Tatsumi;Driving / Race (chase view);;;;;0;;;;;
buggychl;Buggy Challenge;Arcade;;1984;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
buggychl;Buggy Challenge;MAME (Advance);;1984;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
buggychl;Buggy Challenge;MAME (Libretro);;1984;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
buggychl;Buggy Challenge;MAME (Mame4all);;1984;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
buggychlt;Buggy Challenge (Tecfri);Arcade;buggychl;1984;Taito Corporation (Tecfri license);Driving / Race (chase view);;;;;0;;;;;
buggychlt;Buggy Challenge (Tecfri);MAME (Advance);buggychl;1984;Taito Corporation (Tecfri license);Driving / Race (chase view);;;;;0;;;;;
buggychlt;Buggy Challenge (Tecfri);MAME (Libretro);buggychl;1984;Taito Corporation (Tecfri license);Driving / Race (chase view);;;;;0;;;;;
buggychlt;Buggy Challenge (Tecfri);MAME (Mame4all);buggychl;1984;Taito Corporation (Tecfri license);Driving / Race (chase view);;;;;0;;;;;
calspeeda;California Speed (Version 1.0r7a 3/4/98);Arcade;calspeed;1998;Atari Games;Driving / Race (chase view);;;;;0;;;;;
calspeeda;California Speed (Version 1.0r7a 3/4/98);MAME (Advance);calspeed;1998;Atari Games;Driving / Race (chase view);;;;;0;;;;;
calspeeda;California Speed (Version 1.0r7a 3/4/98);MAME (Libretro);calspeed;1998;Atari Games;Driving / Race (chase view);;;;;0;;;;;
calspeeda;California Speed (Version 1.0r7a 3/4/98);MAME (Mame4all);calspeed;1998;Atari Games;Driving / Race (chase view);;;;;0;;;;;
calspeed;California Speed (Version 2.1a, 4/17/98);Arcade;;1998;Atari Games;Driving / Race (chase view);;;;;0;;;;;
calspeed;California Speed (Version 2.1a, 4/17/98);MAME (Advance);;1998;Atari Games;Driving / Race (chase view);;;;;0;;;;;
calspeed;California Speed (Version 2.1a, 4/17/98);MAME (Libretro);;1998;Atari Games;Driving / Race (chase view);;;;;0;;;;;
calspeed;California Speed (Version 2.1a, 4/17/98);MAME (Mame4all);;1998;Atari Games;Driving / Race (chase view);;;;;0;;;;;
caractn2;Car Action (set 2);Arcade;brubber;1982;bootleg;Driving / Race;;;;;0;;;;;
caractn2;Car Action (set 2);Final Burn Alpha;brubber;1982;bootleg;Driving / Race;;;;;0;;;;;
caractn2;Car Action (set 2);MAME (Advance);brubber;1982;bootleg;Driving / Race;;;;;0;;;;;
caractn2;Car Action (set 2);MAME (Libretro);brubber;1982;bootleg;Driving / Race;;;;;0;;;;;
caractn2;Car Action (set 2);MAME (Mame4all);brubber;1982;bootleg;Driving / Race;;;;;0;;;;;
caractn;Car Action (set 1);Arcade;brubber;1982;bootleg;Driving / Race;;;;;0;;;;;
caractn;Car Action (set 1);Final Burn Alpha;brubber;1982;bootleg;Driving / Race;;;;;0;;;;;
caractn;Car Action (set 1);MAME (Advance);brubber;1982;bootleg;Driving / Race;;;;;0;;;;;
caractn;Car Action (set 1);MAME (Libretro);brubber;1982;bootleg;Driving / Race;;;;;0;;;;;
caractn;Car Action (set 1);MAME (Mame4all);brubber;1982;bootleg;Driving / Race;;;;;0;;;;;
Car-Race (Netherlands);Car-Race (Netherlands);Commodore 64;;1983;Courbois Software;Driving;;;;;0;;;;;
cbnj;Bump 'n' Jump (DECO Cassette, Japan);Arcade;cburnrub;1982;Data East Corporation;Driving / Race;;;;;0;;;;;
cbnj;Bump 'n' Jump (DECO Cassette, Japan);MAME (Advance);cburnrub;1982;Data East Corporation;Driving / Race;;;;;0;;;;;
cbnj;Bump 'n' Jump (DECO Cassette, Japan);MAME (Libretro);cburnrub;1982;Data East Corporation;Driving / Race;;;;;0;;;;;
cbnj;Bump 'n' Jump (DECO Cassette, Japan);MAME (Mame4all);cburnrub;1982;Data East Corporation;Driving / Race;;;;;0;;;;;
cbombers;Chase Bombers (World);Arcade;;1994;Taito Corporation Japan;Driving / Race (chase view);;;;;0;;;;;
cbombers;Chase Bombers (World);MAME (Advance);;1994;Taito Corporation Japan;Driving / Race (chase view);;;;;0;;;;;
cbombers;Chase Bombers (World);MAME (Libretro);;1994;Taito Corporation Japan;Driving / Race (chase view);;;;;0;;;;;
cbombers;Chase Bombers (World);MAME (Mame4all);;1994;Taito Corporation Japan;Driving / Race (chase view);;;;;0;;;;;
cbombersj;Chase Bombers (Japan);Arcade;cbombers;1994;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
cbombersj;Chase Bombers (Japan);MAME (Advance);cbombers;1994;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
cbombersj;Chase Bombers (Japan);MAME (Libretro);cbombers;1994;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
cbombersj;Chase Bombers (Japan);MAME (Mame4all);cbombers;1994;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
cbombersp;Chase Bombers (Japan Prototype);Arcade;cbombers;1994;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
cbombersp;Chase Bombers (Japan Prototype);MAME (Advance);cbombers;1994;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
cbombersp;Chase Bombers (Japan Prototype);MAME (Libretro);cbombers;1994;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
cbombersp;Chase Bombers (Japan Prototype);MAME (Mame4all);cbombers;1994;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
cburnrub2;Burnin' Rubber (DECO Cassette, set 2);Arcade;cburnrub;1982;Data East Corporation;Driving / Race;;;;;0;;;;;
cburnrub2;Burnin' Rubber (DECO Cassette, set 2);MAME (Advance);cburnrub;1982;Data East Corporation;Driving / Race;;;;;0;;;;;
cburnrub2;Burnin' Rubber (DECO Cassette, set 2);MAME (Libretro);cburnrub;1982;Data East Corporation;Driving / Race;;;;;0;;;;;
cburnrub2;Burnin' Rubber (DECO Cassette, set 2);MAME (Mame4all);cburnrub;1982;Data East Corporation;Driving / Race;;;;;0;;;;;
cburnrub;Burnin' Rubber (DECO Cassette, set 1);Arcade;;1982;Data East Corporation;Driving / Race;;;;;0;;;;;
