#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Melody Blaster (World);Melody Blaster (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Meteor (World);Meteor (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Microsurgeon (World);Microsurgeon (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Mind Strike! (World);Mind Strike! (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Mission X (World);Mission X (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Moto-Cross (World);Moto-Cross (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Mountain Madness - Super Pro Skiing (World);Mountain Madness - Super Pro Skiing (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Mouse Trap (World);Mouse Trap (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Mr. Basic Meets Bits 'N Bytes (World);Mr. Basic Meets Bits 'N Bytes (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
NASL Soccer (World);NASL Soccer (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
NBA Basketball (World);NBA Basketball (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
NFL Football (World);NFL Football (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
NHL Hockey (World);NHL Hockey (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Night Stalker (World);Night Stalker (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Nova Blast (World);Nova Blast (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Number Jumble (World);Number Jumble (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
PBA Bowling (World);PBA Bowling (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
PGA Golf (World);PGA Golf (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Pac-Man (World);Pac-Man (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Pinball (World);Pinball (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Pitfall! (World);Pitfall! (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Pole Position (World);Pole Position (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Popeye (World);Popeye (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Q-bert (World);Q-bert (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Reversi (World);Reversi (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
River Raid (World);River Raid (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Robot Rubble (World);Robot Rubble (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Royal Dealer (World);Royal Dealer (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Safecracker (World);Safecracker (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Scooby Doo's Maze Chase (World);Scooby Doo's Maze Chase (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Sea Battle (World);Sea Battle (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Sewer Sam (World);Sewer Sam (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Shark! Shark! (World);Shark! Shark! (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Sharp Shot (World);Sharp Shot (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Slam Dunk - Super Pro Basketball (World);Slam Dunk - Super Pro Basketball (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Slap Shot - Super Pro Hockey (World);Slap Shot - Super Pro Hockey (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Snafu (World);Snafu (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Space Armada (World);Space Armada (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Space Battle (World);Space Battle (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Space Cadet (World);Space Cadet (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Space Hawk (World);Space Hawk (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Space Spartans (World);Space Spartans (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Spiker! - Super Pro Volleyball (World);Spiker! - Super Pro Volleyball (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
