birdtry;Birdie Try (Japan);MAME (Mame4all);;1988;Data East Corporation;Sports/Golf;;;;;0;;;;;
bking2;Birdie King 2;Arcade;;1983;Taito Corporation;Sports / Golf;;;;;0;;;;;
bking2;Birdie King 2;Arcade;;1983;Taito Corporation;Sports/Golf;;;;;0;;;;;
bking2;Birdie King 2;Final Burn Alpha;;1983;Taito Corporation;Sports / Golf;;;;;0;;;;;
bking2;Birdie King 2;Final Burn Alpha;;1983;Taito Corporation;Sports/Golf;;;;;0;;;;;
bking2;Birdie King 2;MAME (Advance);;1983;Taito Corporation;Sports / Golf;;;;;0;;;;;
bking2;Birdie King 2;MAME (Advance);;1983;Taito Corporation;Sports/Golf;;;;;0;;;;;
bking2;Birdie King 2;MAME (Libretro);;1983;Taito Corporation;Sports / Golf;;;;;0;;;;;
bking2;Birdie King 2;MAME (Libretro);;1983;Taito Corporation;Sports/Golf;;;;;0;;;;;
bking2;Birdie King 2;MAME (Mame4all);;1983;Taito Corporation;Sports / Golf;;;;;0;;;;;
bking2;Birdie King 2;MAME (Mame4all);;1983;Taito Corporation;Sports/Golf;;;;;0;;;;;
bking3;Birdie King 3;Arcade;;1984;Taito Corporation;Sports / Golf;;;;;0;;;;;
bking3;Birdie King 3;Arcade;;1984;Taito Corporation;Sports/Golf;;;;;0;;;;;
bking3;Birdie King 3;Final Burn Alpha;;1984;Taito Corporation;Sports / Golf;;;;;0;;;;;
bking3;Birdie King 3;Final Burn Alpha;;1984;Taito Corporation;Sports/Golf;;;;;0;;;;;
bking3;Birdie King 3;MAME (Advance);;1984;Taito Corporation;Sports / Golf;;;;;0;;;;;
bking3;Birdie King 3;MAME (Advance);;1984;Taito Corporation;Sports/Golf;;;;;0;;;;;
bking3;Birdie King 3;MAME (Libretro);;1984;Taito Corporation;Sports / Golf;;;;;0;;;;;
bking3;Birdie King 3;MAME (Libretro);;1984;Taito Corporation;Sports/Golf;;;;;0;;;;;
bking3;Birdie King 3;MAME (Mame4all);;1984;Taito Corporation;Sports / Golf;;;;;0;;;;;
bking3;Birdie King 3;MAME (Mame4all);;1984;Taito Corporation;Sports/Golf;;;;;0;;;;;
bking;Birdie King;Arcade;;1982;Taito Corporation;Sports / Golf;;;;;0;;;;;
bking;Birdie King;Arcade;;1982;Taito Corporation;Sports/Golf;;;;;0;;;;;
bking;Birdie King;Final Burn Alpha;;1982;Taito Corporation;Sports / Golf;;;;;0;;;;;
bking;Birdie King;Final Burn Alpha;;1982;Taito Corporation;Sports/Golf;;;;;0;;;;;
bking;Birdie King;MAME (Advance);;1982;Taito Corporation;Sports / Golf;;;;;0;;;;;
bking;Birdie King;MAME (Advance);;1982;Taito Corporation;Sports/Golf;;;;;0;;;;;
bking;Birdie King;MAME (Libretro);;1982;Taito Corporation;Sports / Golf;;;;;0;;;;;
bking;Birdie King;MAME (Libretro);;1982;Taito Corporation;Sports/Golf;;;;;0;;;;;
bking;Birdie King;MAME (Mame4all);;1982;Taito Corporation;Sports / Golf;;;;;0;;;;;
bking;Birdie King;MAME (Mame4all);;1982;Taito Corporation;Sports/Golf;;;;;0;;;;;
California Pro Golf (Europe);California Pro Golf (Europe);Commodore 64;;1989;Mastertronic;Sports/Golf;;;;;0;;;;;
CBM 64 Golf (Europe);CBM 64 Golf (Europe);Commodore 64;;1986;Prism Leisure Corp. (PLC);Sports/Golf;;;;;0;;;;;
Challenge Golf (Europe);Challenge Golf (Europe);Atari ST;;1991;On-Line Entertainment;Sports/Golf;;;;;0;;;;;
Challenge Golf (Europe);Challenge Golf (Europe);Commodore 64;;1992;Prism Leisure Corp. (PLC);Sports/Golf;;;;;0;;;;;
Champion Golf (Japan);Champion Golf (Japan);Sega SG-1000;;1983;Sega;Sports/Golf;;;;;0;;;;;
Championship Golf (Europe);Championship Golf (Europe);Amstrad CPC;;1989;D & H Games;Sports/Golf;;;;;0;;;;;
Championship Golf (Europe);Championship Golf (Europe);Commodore 64;;1988;D&H Games;Sports/Golf;;;;;0;;;;;
Championship Golf (Europe);Championship Golf (Europe);Sinclair ZX Spectrum;;1988;D&H Games;Sports/Golf;;;;;0;;;;;
Chi Chi's Pro Challenge Golf (USA);Chi Chi's Pro Challenge Golf (USA);Sega Genesis;;1993;Coconuts Japan;Sports/Golf;;;;;0;;;;;
compgolf;Competition Golf Final Round (revision 3);Arcade;;1986;Data East;Sports / Golf;;;;;0;;;;;
compgolf;Competition Golf Final Round (revision 3);MAME (Advance);;1986;Data East;Sports / Golf;;;;;0;;;;;
compgolf;Competition Golf Final Round (revision 3);MAME (Libretro);;1986;Data East;Sports / Golf;;;;;0;;;;;
compgolf;Competition Golf Final Round (revision 3);MAME (Mame4all);;1986;Data East;Sports / Golf;;;;;0;;;;;
compgolfo;Competition Golf Final Round (Japan, old version);Arcade;compgolf;1985;Data East;Sports / Golf;;;;;0;;;;;
compgolfo;Competition Golf Final Round (Japan, old version);MAME (Advance);compgolf;1985;Data East;Sports / Golf;;;;;0;;;;;
compgolfo;Competition Golf Final Round (Japan, old version);MAME (Libretro);compgolf;1985;Data East;Sports / Golf;;;;;0;;;;;
compgolfo;Competition Golf Final Round (Japan, old version);MAME (Mame4all);compgolf;1985;Data East;Sports / Golf;;;;;0;;;;;
Computer Golf (USA);Computer Golf (USA);Magnavox Odyssey 2;;1978;Magnavox;Sports/Golf;;;;;0;;;;;
countryc;Country Club;Arcade;;1988;SNK;Sports / Golf;;;;;0;;;;;
countryc;Country Club;Arcade;;1988;SNK;Sports/Golf;;;;;0;;;;;
countryc;Country Club;Final Burn Alpha;;1988;SNK;Sports/Golf;;;;;0;;;;;
countryc;Country Club;MAME (Advance);;1988;SNK;Sports / Golf;;;;;0;;;;;
countryc;Country Club;MAME (Advance);;1988;SNK;Sports/Golf;;;;;0;;;;;
countryc;Country Club;MAME (Libretro);;1988;SNK;Sports / Golf;;;;;0;;;;;
countryc;Country Club;MAME (Libretro);;1988;SNK;Sports/Golf;;;;;0;;;;;
countryc;Country Club;MAME (Mame4all);;1988;SNK;Sports / Golf;;;;;0;;;;;
countryc;Country Club;MAME (Mame4all);;1988;SNK;Sports/Golf;;;;;0;;;;;
cprogolf18;18 Challenge Pro Golf (DECO Cassette, Japan);Arcade;cprogolf;1982;Data East Corporation;Sports / Golf;;;;;0;;;;;
cprogolf18;18 Challenge Pro Golf (DECO Cassette, Japan);Arcade;cprogolf;1982;Data East Corporation;Sports/Golf;;;;;0;;;;;
cprogolf18;18 Challenge Pro Golf (DECO Cassette, Japan);Final Burn Alpha;cprogolf;1982;Data East Corporation;Sports/Golf;;;;;0;;;;;
cprogolf18;18 Challenge Pro Golf (DECO Cassette, Japan);MAME (Advance);cprogolf;1982;Data East Corporation;Sports / Golf;;;;;0;;;;;
cprogolf18;18 Challenge Pro Golf (DECO Cassette, Japan);MAME (Advance);cprogolf;1982;Data East Corporation;Sports/Golf;;;;;0;;;;;
