bowlrama;Bowl-O-Rama;Arcade;;1991;P&P Marketing;Sports / Bowling;;;;;0;;;;;
bowlrama;Bowl-O-Rama;Final Burn Alpha;;1991;P&P Marketing;Sports / Bowling;;;;;0;;;;;
bowlrama;Bowl-O-Rama;MAME (Advance);;1991;P&P Marketing;Sports / Bowling;;;;;0;;;;;
bowlrama;Bowl-O-Rama;MAME (Libretro);;1991;P&P Marketing;Sports / Bowling;;;;;0;;;;;
bowlrama;Bowl-O-Rama;MAME (Mame4all);;1991;P&P Marketing;Sports / Bowling;;;;;0;;;;;
Brunswick Circuit Pro Bowling 2 (USA);Brunswick Circuit Pro Bowling 2 (USA);Sony PlayStation;;2000;THQ;Sports/Bowling;;;;;0;;;;;
Brunswick Circuit Pro Bowling 2 (USA);Brunswick Circuit Pro Bowling 2 (USA);Sony PSP;;2000;THQ;Sports/Bowling;;;;;0;;;;;
Brunswick Circuit Pro Bowling (USA);Brunswick Circuit Pro Bowling (USA);Sony PlayStation;;1998;THQ;Sports/Bowling;;;;;0;;;;;
Brunswick Circuit Pro Bowling (USA);Brunswick Circuit Pro Bowling (USA);Sony PSP;;1998;THQ;Sports/Bowling;;;;;0;;;;;
capbowl2;Capcom Bowling (set 2);Arcade;capbowl;1988;Incredible Technologies / Capcom;Sports / Bowling;;;;;0;;;;;
capbowl2;Capcom Bowling (set 2);Arcade;capbowl;1988;Incredible Technologies / Capcom;Sports/Bowling;;;;;0;;;;;
capbowl2;Capcom Bowling (set 2);Final Burn Alpha;capbowl;1988;Incredible Technologies / Capcom;Sports/Bowling;;;;;0;;;;;
capbowl2;Capcom Bowling (set 2);MAME (Advance);capbowl;1988;Incredible Technologies / Capcom;Sports / Bowling;;;;;0;;;;;
capbowl2;Capcom Bowling (set 2);MAME (Advance);capbowl;1988;Incredible Technologies / Capcom;Sports/Bowling;;;;;0;;;;;
capbowl2;Capcom Bowling (set 2);MAME (Libretro);capbowl;1988;Incredible Technologies / Capcom;Sports / Bowling;;;;;0;;;;;
capbowl2;Capcom Bowling (set 2);MAME (Libretro);capbowl;1988;Incredible Technologies / Capcom;Sports/Bowling;;;;;0;;;;;
capbowl2;Capcom Bowling (set 2);MAME (Mame4all);capbowl;1988;Incredible Technologies / Capcom;Sports / Bowling;;;;;0;;;;;
capbowl2;Capcom Bowling (set 2);MAME (Mame4all);capbowl;1988;Incredible Technologies / Capcom;Sports/Bowling;;;;;0;;;;;
capbowl3;Capcom Bowling (set 3);Arcade;capbowl;1988;Incredible Technologies / Capcom;Sports / Bowling;;;;;0;;;;;
capbowl3;Capcom Bowling (set 3);Arcade;capbowl;1988;Incredible Technologies / Capcom;Sports/Bowling;;;;;0;;;;;
capbowl3;Capcom Bowling (set 3);Final Burn Alpha;capbowl;1988;Incredible Technologies / Capcom;Sports/Bowling;;;;;0;;;;;
capbowl3;Capcom Bowling (set 3);MAME (Advance);capbowl;1988;Incredible Technologies / Capcom;Sports / Bowling;;;;;0;;;;;
capbowl3;Capcom Bowling (set 3);MAME (Advance);capbowl;1988;Incredible Technologies / Capcom;Sports/Bowling;;;;;0;;;;;
capbowl3;Capcom Bowling (set 3);MAME (Libretro);capbowl;1988;Incredible Technologies / Capcom;Sports / Bowling;;;;;0;;;;;
capbowl3;Capcom Bowling (set 3);MAME (Libretro);capbowl;1988;Incredible Technologies / Capcom;Sports/Bowling;;;;;0;;;;;
capbowl3;Capcom Bowling (set 3);MAME (Mame4all);capbowl;1988;Incredible Technologies / Capcom;Sports / Bowling;;;;;0;;;;;
capbowl3;Capcom Bowling (set 3);MAME (Mame4all);capbowl;1988;Incredible Technologies / Capcom;Sports/Bowling;;;;;0;;;;;
capbowl4;Capcom Bowling (set 4);Arcade;capbowl;1988;Incredible Technologies / Capcom;Sports / Bowling;;;;;0;;;;;
capbowl4;Capcom Bowling (set 4);Arcade;capbowl;1988;Incredible Technologies / Capcom;Sports/Bowling;;;;;0;;;;;
capbowl4;Capcom Bowling (set 4);Final Burn Alpha;capbowl;1988;Incredible Technologies / Capcom;Sports/Bowling;;;;;0;;;;;
capbowl4;Capcom Bowling (set 4);MAME (Advance);capbowl;1988;Incredible Technologies / Capcom;Sports / Bowling;;;;;0;;;;;
capbowl4;Capcom Bowling (set 4);MAME (Advance);capbowl;1988;Incredible Technologies / Capcom;Sports/Bowling;;;;;0;;;;;
capbowl4;Capcom Bowling (set 4);MAME (Libretro);capbowl;1988;Incredible Technologies / Capcom;Sports / Bowling;;;;;0;;;;;
capbowl4;Capcom Bowling (set 4);MAME (Libretro);capbowl;1988;Incredible Technologies / Capcom;Sports/Bowling;;;;;0;;;;;
capbowl4;Capcom Bowling (set 4);MAME (Mame4all);capbowl;1988;Incredible Technologies / Capcom;Sports / Bowling;;;;;0;;;;;
capbowl4;Capcom Bowling (set 4);MAME (Mame4all);capbowl;1988;Incredible Technologies / Capcom;Sports/Bowling;;;;;0;;;;;
capbowl;Capcom Bowling (set 1);Arcade;;1988;Incredible Technologies / Capcom;Sports / Bowling;;;;;0;;;;;
capbowl;Capcom Bowling (set 1);Arcade;;1988;Incredible Technologies / Capcom;Sports/Bowling;;;;;0;;;;;
capbowl;Capcom Bowling (set 1);Final Burn Alpha;;1988;Incredible Technologies / Capcom;Sports / Bowling;;;;;0;;;;;
capbowl;Capcom Bowling (set 1);Final Burn Alpha;;1988;Incredible Technologies / Capcom;Sports/Bowling;;;;;0;;;;;
capbowl;Capcom Bowling (set 1);MAME (Advance);;1988;Incredible Technologies / Capcom;Sports / Bowling;;;;;0;;;;;
capbowl;Capcom Bowling (set 1);MAME (Advance);;1988;Incredible Technologies / Capcom;Sports/Bowling;;;;;0;;;;;
capbowl;Capcom Bowling (set 1);MAME (Libretro);;1988;Incredible Technologies / Capcom;Sports / Bowling;;;;;0;;;;;
capbowl;Capcom Bowling (set 1);MAME (Libretro);;1988;Incredible Technologies / Capcom;Sports/Bowling;;;;;0;;;;;
capbowl;Capcom Bowling (set 1);MAME (Mame4all);;1988;Incredible Technologies / Capcom;Sports / Bowling;;;;;0;;;;;
capbowl;Capcom Bowling (set 1);MAME (Mame4all);;1988;Incredible Technologies / Capcom;Sports/Bowling;;;;;0;;;;;
champbwl;Championship Bowling;Arcade;;1989;Seta / Romstar Inc.;Sports / Bowling;;;;;0;;;;;
champbwl;Championship Bowling;Final Burn Alpha;;1989;Seta / Romstar Inc.;Sports / Bowling;;;;;0;;;;;
champbwl;Championship Bowling;MAME (Advance);;1989;Seta / Romstar Inc.;Sports / Bowling;;;;;0;;;;;
champbwl;Championship Bowling;MAME (Libretro);;1989;Seta / Romstar Inc.;Sports / Bowling;;;;;0;;;;;
champbwl;Championship Bowling;MAME (Mame4all);;1989;Seta / Romstar Inc.;Sports / Bowling;;;;;0;;;;;
Championship Bowling (USA);Championship Bowling (USA);Nintendo Entertainment System;;1989;Romstar;Sports/Bowling;;;;;0;;;;;
Championship Bowling (USA);Championship Bowling (USA);Sega Genesis;;1993;Visco;Sports/Bowling;;;;;0;;;;;
clbowl;Coors Light Bowling;Arcade;capbowl;1989;Incredible Technologies / Capcom;Sports / Bowling;;;;;0;;;;;
clbowl;Coors Light Bowling;MAME (Advance);capbowl;1989;Incredible Technologies / Capcom;Sports / Bowling;;;;;0;;;;;
clbowl;Coors Light Bowling;MAME (Libretro);capbowl;1989;Incredible Technologies / Capcom;Sports / Bowling;;;;;0;;;;;
clbowl;Coors Light Bowling;MAME (Mame4all);capbowl;1989;Incredible Technologies / Capcom;Sports / Bowling;;;;;0;;;;;
cprobowl;Pro Bowling (DECO Cassette);Arcade;;1983;Data East Corporation;Sports / Bowling;;;;;0;;;;;
cprobowl;Pro Bowling (DECO Cassette);Arcade;;1983;Data East Corporation;Sports/Bowling;;;;;0;;;;;
cprobowl;Pro Bowling (DECO Cassette);Final Burn Alpha;;1983;Data East Corporation;Sports/Bowling;;;;;0;;;;;
cprobowl;Pro Bowling (DECO Cassette);MAME (Advance);;1983;Data East Corporation;Sports / Bowling;;;;;0;;;;;
cprobowl;Pro Bowling (DECO Cassette);MAME (Advance);;1983;Data East Corporation;Sports/Bowling;;;;;0;;;;;
cprobowl;Pro Bowling (DECO Cassette);MAME (Libretro);;1983;Data East Corporation;Sports / Bowling;;;;;0;;;;;
cprobowl;Pro Bowling (DECO Cassette);MAME (Libretro);;1983;Data East Corporation;Sports/Bowling;;;;;0;;;;;
cprobowl;Pro Bowling (DECO Cassette);MAME (Mame4all);;1983;Data East Corporation;Sports / Bowling;;;;;0;;;;;
cprobowl;Pro Bowling (DECO Cassette);MAME (Mame4all);;1983;Data East Corporation;Sports/Bowling;;;;;0;;;;;
Dynamite Bowl (Japan);Dynamite Bowl (Japan);Nintendo Famicom;;1987;Toshiba EMI;Sports/Bowling;;;;;0;;;;;
Flintstones, The - Bedrock Bowling (USA);Flintstones, The - Bedrock Bowling (USA);Sony PlayStation;;2000;South Peak Interactive;Sports/Bowling;;;;;0;;;;;
Flintstones, The - Bedrock Bowling (USA);Flintstones, The - Bedrock Bowling (USA);Sony PSP;;2000;South Peak Interactive;Sports/Bowling;;;;;0;;;;;
Indoor Bowling (Europe);Indoor Bowling (Europe);Amstrad CPC;;1987;Alligata Software;Sports/Bowling;;;;;0;;;;;
King of Bowling 2 (Europe);King of Bowling 2 (Europe);Sony PlayStation;;2000;Midas Interactive Entertainment;Sports/Bowling;;;;;0;;;;;
King of Bowling 2 (Europe);King of Bowling 2 (Europe);Sony PSP;;2000;Midas Interactive Entertainment;Sports/Bowling;;;;;0;;;;;
King of Bowling 3 (Europe);King of Bowling 3 (Europe);Sony PlayStation;;2003;Phoenix Games;Sports/Bowling;;;;;0;;;;;
King of Bowling 3 (Europe);King of Bowling 3 (Europe);Sony PSP;;2003;Phoenix Games;Sports/Bowling;;;;;0;;;;;
kingpin;Kingpin;Arcade;;1983;ACL Manufacturing;Sports / Bowling;;;;;0;;;;;
kingpin;Kingpin;Final Burn Alpha;;1983;ACL Manufacturing;Sports / Bowling;;;;;0;;;;;
kingpin;Kingpin;MAME (Advance);;1983;ACL Manufacturing;Sports / Bowling;;;;;0;;;;;
kingpin;Kingpin;MAME (Libretro);;1983;ACL Manufacturing;Sports / Bowling;;;;;0;;;;;
kingpin;Kingpin;MAME (Mame4all);;1983;ACL Manufacturing;Sports / Bowling;;;;;0;;;;;
krzybowl;Krazy Bowl;Arcade;;1994;American Sammy;Sports / Bowling;;;;;0;;;;;
krzybowl;Krazy Bowl;Final Burn Alpha;;1994;American Sammy;Sports / Bowling;;;;;0;;;;;
krzybowl;Krazy Bowl;MAME (Advance);;1994;American Sammy;Sports / Bowling;;;;;0;;;;;
krzybowl;Krazy Bowl;MAME (Libretro);;1994;American Sammy;Sports / Bowling;;;;;0;;;;;
krzybowl;Krazy Bowl;MAME (Mame4all);;1994;American Sammy;Sports / Bowling;;;;;0;;;;;
lbowling;League Bowling (NGM-019)(NGH-019);Arcade;;1990;SNK;Sports / Bowling;;;;;0;;;;;
lbowling;League Bowling (NGM-019)(NGH-019);Arcade;;1990;SNK;Sports/Bowling;;;;;0;;;;;
lbowling;League Bowling (NGM-019)(NGH-019);Final Burn Alpha;;1990;SNK;Sports/Bowling;;;;;0;;;;;
lbowling;League Bowling (NGM-019)(NGH-019);MAME (Advance);;1990;SNK;Sports / Bowling;;;;;0;;;;;
lbowling;League Bowling (NGM-019)(NGH-019);MAME (Advance);;1990;SNK;Sports/Bowling;;;;;0;;;;;
lbowling;League Bowling (NGM-019)(NGH-019);MAME (Libretro);;1990;SNK;Sports / Bowling;;;;;0;;;;;
lbowling;League Bowling (NGM-019)(NGH-019);MAME (Libretro);;1990;SNK;Sports/Bowling;;;;;0;;;;;
lbowling;League Bowling (NGM-019)(NGH-019);MAME (Mame4all);;1990;SNK;Sports / Bowling;;;;;0;;;;;
lbowling;League Bowling (NGM-019)(NGH-019);MAME (Mame4all);;1990;SNK;Sports/Bowling;;;;;0;;;;;
lbowling;League Bowling;SNK Neo Geo AES;;1991;SNK;Sports/Bowling;;;;;0;;;;;
Little People Bowling Alley (USA);Little People Bowling Alley (USA);Commodore 64;;1988;GameTek/Fisher-Price;Sports/Bowling;;;;;0;;;;;
medlanes;Meadows Lanes;Arcade;;1977;Meadows Games, Inc.;Sports / Bowling;;;;;0;;;;;
medlanes;Meadows Lanes;Final Burn Alpha;;1977;Meadows Games, Inc.;Sports / Bowling;;;;;0;;;;;
medlanes;Meadows Lanes;MAME (Advance);;1977;Meadows Games, Inc.;Sports / Bowling;;;;;0;;;;;
medlanes;Meadows Lanes;MAME (Libretro);;1977;Meadows Games, Inc.;Sports / Bowling;;;;;0;;;;;
medlanes;Meadows Lanes;MAME (Mame4all);;1977;Meadows Games, Inc.;Sports / Bowling;;;;;0;;;;;
Nester's Funky Bowling (USA);Nester's Funky Bowling (USA);Nintendo Virtual Boy;;1996;Nintendo;Sports/Bowling;;;;;0;;;;;
Nester's Funky Bowling (USA);Nester\'s Funky Bowling (USA);Nintendo Virtual Boy;;1996;Nintendo;Sports/Bowling;;;;;0;;;;;
Perfect Bowling (Japan);Perfect Bowling (Japan);Nintendo Famicom;;1989;Tonkin House;Sports/Bowling;;;;;0;;;;;
Pocket Bowling (USA);Pocket Bowling (USA);Nintendo Game Boy Color;;1999;Jaleco Entertainment;Sports;;;;;0;;;;;
prosporta;Pro Sports - Bowling, Tennis, and Golf (set 2);Arcade;prosport;1983;Data East Corporation;Sports/Compilation;;;;;0;;;;;
prosporta;Pro Sports - Bowling, Tennis, and Golf (set 2);Arcade;prosport;1983;Data East Corporation;Sports / Multiplay;;;;;0;;;;;
prosporta;Pro Sports - Bowling, Tennis, and Golf (set 2);Final Burn Alpha;prosport;1983;Data East Corporation;Sports/Compilation;;;;;0;;;;;
prosporta;Pro Sports - Bowling, Tennis, and Golf (set 2);MAME (Advance);prosport;1983;Data East Corporation;Sports/Compilation;;;;;0;;;;;
prosporta;Pro Sports - Bowling, Tennis, and Golf (set 2);MAME (Advance);prosport;1983;Data East Corporation;Sports / Multiplay;;;;;0;;;;;
prosporta;Pro Sports - Bowling, Tennis, and Golf (set 2);MAME (Libretro);prosport;1983;Data East Corporation;Sports/Compilation;;;;;0;;;;;
prosporta;Pro Sports - Bowling, Tennis, and Golf (set 2);MAME (Libretro);prosport;1983;Data East Corporation;Sports / Multiplay;;;;;0;;;;;
prosporta;Pro Sports - Bowling, Tennis, and Golf (set 2);MAME (Mame4all);prosport;1983;Data East Corporation;Sports/Compilation;;;;;0;;;;;
prosporta;Pro Sports - Bowling, Tennis, and Golf (set 2);MAME (Mame4all);prosport;1983;Data East Corporation;Sports / Multiplay;;;;;0;;;;;
prosport;Pro Sports - Bowling, Tennis, and Golf (set 1);Arcade;;1983;Data East Corporation;Sports/Compilation;;;;;0;;;;;
prosport;Pro Sports - Bowling, Tennis, and Golf (set 1);Arcade;;1983;Data East Corporation;Sports / Multiplay;;;;;0;;;;;
prosport;Pro Sports - Bowling, Tennis, and Golf (set 1);Final Burn Alpha;;1983;Data East Corporation;Sports/Compilation;;;;;0;;;;;
prosport;Pro Sports - Bowling, Tennis, and Golf (set 1);MAME (Advance);;1983;Data East Corporation;Sports/Compilation;;;;;0;;;;;
prosport;Pro Sports - Bowling, Tennis, and Golf (set 1);MAME (Advance);;1983;Data East Corporation;Sports / Multiplay;;;;;0;;;;;
prosport;Pro Sports - Bowling, Tennis, and Golf (set 1);MAME (Libretro);;1983;Data East Corporation;Sports/Compilation;;;;;0;;;;;
prosport;Pro Sports - Bowling, Tennis, and Golf (set 1);MAME (Libretro);;1983;Data East Corporation;Sports / Multiplay;;;;;0;;;;;
prosport;Pro Sports - Bowling, Tennis, and Golf (set 1);MAME (Mame4all);;1983;Data East Corporation;Sports/Compilation;;;;;0;;;;;
prosport;Pro Sports - Bowling, Tennis, and Golf (set 1);MAME (Mame4all);;1983;Data East Corporation;Sports / Multiplay;;;;;0;;;;;
robotbwl;Robot Bowl;Arcade;;1977;Exidy;Sports / Bowling;;;;;0;;;;;
robotbwl;Robot Bowl;Final Burn Alpha;;1977;Exidy;Sports / Bowling;;;;;0;;;;;
robotbwl;Robot Bowl;MAME (Advance);;1977;Exidy;Sports / Bowling;;;;;0;;;;;
robotbwl;Robot Bowl;MAME (Libretro);;1977;Exidy;Sports / Bowling;;;;;0;;;;;
robotbwl;Robot Bowl;MAME (Mame4all);;1977;Exidy;Sports / Bowling;;;;;0;;;;;
sbowling;Strike Bowling;Arcade;;1982;Taito Corporation;Sports / Bowling;;;;;0;;;;;
sbowling;Strike Bowling;Arcade;;1982;Taito Corporation;Sports/Bowling;;;;;0;;;;;
sbowling;Strike Bowling;Final Burn Alpha;;1982;Taito Corporation;Sports / Bowling;;;;;0;;;;;
sbowling;Strike Bowling;Final Burn Alpha;;1982;Taito Corporation;Sports/Bowling;;;;;0;;;;;
sbowling;Strike Bowling;MAME (Advance);;1982;Taito Corporation;Sports / Bowling;;;;;0;;;;;
sbowling;Strike Bowling;MAME (Advance);;1982;Taito Corporation;Sports/Bowling;;;;;0;;;;;
sbowling;Strike Bowling;MAME (Libretro);;1982;Taito Corporation;Sports / Bowling;;;;;0;;;;;
sbowling;Strike Bowling;MAME (Libretro);;1982;Taito Corporation;Sports/Bowling;;;;;0;;;;;
sbowling;Strike Bowling;MAME (Mame4all);;1982;Taito Corporation;Sports / Bowling;;;;;0;;;;;
sbowling;Strike Bowling;MAME (Mame4all);;1982;Taito Corporation;Sports/Bowling;;;;;0;;;;;
simpbowl;Simpsons Bowling (GQ829 UAA);Arcade;;2000;Konami;Sports / Bowling;;;;;0;;;;;
simpbowl;Simpsons Bowling (GQ829 UAA);Arcade;;2000;Konami;Sports/Bowling;;;;;0;;;;;
simpbowl;Simpsons Bowling (GQ829 UAA);Final Burn Alpha;;2000;Konami;Sports / Bowling;;;;;0;;;;;
simpbowl;Simpsons Bowling (GQ829 UAA);Final Burn Alpha;;2000;Konami;Sports/Bowling;;;;;0;;;;;
simpbowl;Simpsons Bowling (GQ829 UAA);MAME (Advance);;2000;Konami;Sports / Bowling;;;;;0;;;;;
simpbowl;Simpsons Bowling (GQ829 UAA);MAME (Advance);;2000;Konami;Sports/Bowling;;;;;0;;;;;
simpbowl;Simpsons Bowling (GQ829 UAA);MAME (Libretro);;2000;Konami;Sports / Bowling;;;;;0;;;;;
simpbowl;Simpsons Bowling (GQ829 UAA);MAME (Libretro);;2000;Konami;Sports/Bowling;;;;;0;;;;;
simpbowl;Simpsons Bowling (GQ829 UAA);MAME (Mame4all);;2000;Konami;Sports / Bowling;;;;;0;;;;;
simpbowl;Simpsons Bowling (GQ829 UAA);MAME (Mame4all);;2000;Konami;Sports/Bowling;;;;;0;;;;;
Spectrum Bowls (Europe);Spectrum Bowls (Europe);Sinclair ZX Spectrum;;1983;Lotus-Soft;Sports/Bowling;;;;;0;;;;;
stratab1;Strata Bowling (V1);Arcade;stratab;1990;Strata/Incredible Technologies;Sports / Bowling;;;;;0;;;;;
stratab1;Strata Bowling (V1);Final Burn Alpha;stratab;1990;Strata/Incredible Technologies;Sports / Bowling;;;;;0;;;;;
stratab1;Strata Bowling (V1);MAME (Advance);stratab;1990;Strata/Incredible Technologies;Sports / Bowling;;;;;0;;;;;
stratab1;Strata Bowling (V1);MAME (Libretro);stratab;1990;Strata/Incredible Technologies;Sports / Bowling;;;;;0;;;;;
stratab1;Strata Bowling (V1);MAME (Mame4all);stratab;1990;Strata/Incredible Technologies;Sports / Bowling;;;;;0;;;;;
stratab;Strata Bowling (V3);Arcade;;1990;Strata/Incredible Technologies;Sports / Bowling;;;;;0;;;;;
stratab;Strata Bowling (V3);Final Burn Alpha;;1990;Strata/Incredible Technologies;Sports / Bowling;;;;;0;;;;;
stratab;Strata Bowling (V3);MAME (Advance);;1990;Strata/Incredible Technologies;Sports / Bowling;;;;;0;;;;;
stratab;Strata Bowling (V3);MAME (Libretro);;1990;Strata/Incredible Technologies;Sports / Bowling;;;;;0;;;;;
stratab;Strata Bowling (V3);MAME (Mame4all);;1990;Strata/Incredible Technologies;Sports / Bowling;;;;;0;;;;;
Strike! (Europe);Strike! (Europe);Amstrad CPC;;1987;Mastertronic;Sports/Bowling;;;;;0;;;;;
Strike (Europe);Strike (Europe);Atari ST;;1987;Mastertronic;Sports/Bowling;;;;;0;;;;;
Strike! (Europe);Strike! (Europe);Commodore 64;;1987;MAD (Mastertronic's Added Dimension);Sports/Bowling;;;;;0;;;;;
Strike! (Europe);Strike! (Europe);Sinclair ZX Spectrum;;1987;Mastertronic Added Dimension;Sports/Bowling;;;;;0;;;;;
Super Bowling (USA);Super Bowling (USA);Super Nintendo Entertainment System;;1992;Technos;Sports/Bowling;;;;;0;;;;;
Ten Pin Alley (USA);Ten Pin Alley (USA);Sony PlayStation;;1996;ASC Games;Sports/Bowling;;;;;0;;;;;
Ten Pin Alley (USA);Ten Pin Alley (USA);Sony PSP;;1996;ASC Games;Sports/Bowling;;;;;0;;;;;
