#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Super Air Diver 2 (Japan);Super Air Diver 2 (Japan);Nintendo Super Famicom;;1995;Copya Systems;Simulation;;;;;0;;;;;
Super Aleste (Japan);Super Aleste (Japan);Nintendo Super Famicom;;1992;Compile;Shoot-'Em-Up;;;;;0;;;;;
Super Back to the Future Part II (Japan) (Translated En);Super Back to the Future Part II (Japan) (Translated En);Nintendo Super Famicom;;1993;Daft;Action;;;;;0;;;;;
Super Bikkuriman (Japan);Super Bikkuriman (Japan);Nintendo Super Famicom;;1993;Tom Create;Fighter;;;;;0;;;;;
Super Bomberman - Panic Bomber W (Japan);Super Bomberman - Panic Bomber W (Japan);Nintendo Super Famicom;;1995;Raizing;Puzzle;;;;;0;;;;;
Super Bomberman 4 (Japan) (Translated En);Super Bomberman 4 (Japan) (Translated En);Nintendo Super Famicom;;1995;Hudson;Puzzle;;;;;0;;;;;
Super Bomberman 5 (Japan);Super Bomberman 5 (Japan);Nintendo Super Famicom;;1997;Hudson;Puzzle;;;;;0;;;;;
Super Bombliss (Japan);Super Bombliss (Japan);Nintendo Super Famicom;;1995;TOSE;Puzzle;;;;;0;;;;;
Super Chinese Fighter (Japan);Super Chinese Fighter (Japan);Nintendo Super Famicom;;1995;Culture Brain;Fighter;;;;;0;;;;;
Super Drift Out - World Rally Championships (Japan);Super Drift Out - World Rally Championships (Japan);Nintendo Super Famicom;;1995;Dragnet;Driving;;;;;0;;;;;
Super Dunk Shot (Japan);Super Dunk Shot (Japan);Nintendo Super Famicom;;1992;Sculptured Software;Sports/Basketball;;;;;0;;;;;
Super Dunk Star (Japan);Super Dunk Star (Japan);Nintendo Super Famicom;;1993;C-Lab;Sports/Basketball;;;;;0;;;;;
Super F1 Circus (Japan);Super F1 Circus (Japan);Nintendo Super Famicom;;1992;Nichibutsu;Driving;;;;;0;;;;;
Super F1 Circus 2 (Japan);Super F1 Circus 2 (Japan);Nintendo Super Famicom;;1993;Cream;Driving;;;;;0;;;;;
Super F1 Circus 3 (Japan);Super F1 Circus 3 (Japan);Nintendo Super Famicom;;1994;Nichibutsu;Driving;;;;;0;;;;;
Super F1 Circus Gaiden (Japan);Super F1 Circus Gaiden (Japan);Nintendo Super Famicom;;1995;Nichibutsu;Driving;;;;;0;;;;;
Super F1 Circus Limited (Japan);Super F1 Circus Limited (Japan);Nintendo Super Famicom;;1992;Nichibutsu;Driving;;;;;0;;;;;
