Championship Boxing (Side B) (Europe);Championship Boxing (Side B) (Europe);Sinclair ZX Spectrum;;1991;Lambourne Games;Sports/Boxing;;;;;0;;;;;
Championship Boxing (USA);Championship Boxing (USA);Commodore 64;;1985;Sierra Online, Inc.;Sports/Boxing;;;;;0;;;;;
Champ, The (Europe);Champ, The (Europe);Sinclair ZX Spectrum;;1991;Linel Software;Sports/Boxing;;;;;0;;;;;
Champ, The (Switzerland);Champ, The (Switzerland);Commodore 64;;1989;LinEL;Sports/Boxing;;;;;0;;;;;
Chavez II (USA);Chavez II (USA);Sega Genesis;;1993;Sculptured Software;Sports/Boxing;;;;;0;;;;;
chboxing;Champion Boxing;Arcade;;1984;Sega;Sports / Boxing;;;;;0;;;;;
chboxing;Champion Boxing;Arcade;;1984;Sega;Sports/Boxing;;;;;0;;;;;
chboxing;Champion Boxing;Final Burn Alpha;;1984;Sega;Sports/Boxing;;;;;0;;;;;
chboxing;Champion Boxing;MAME (Advance);;1984;Sega;Sports / Boxing;;;;;0;;;;;
chboxing;Champion Boxing;MAME (Advance);;1984;Sega;Sports/Boxing;;;;;0;;;;;
chboxing;Champion Boxing;MAME (Libretro);;1984;Sega;Sports / Boxing;;;;;0;;;;;
chboxing;Champion Boxing;MAME (Libretro);;1984;Sega;Sports/Boxing;;;;;0;;;;;
chboxing;Champion Boxing;MAME (Mame4all);;1984;Sega;Sports / Boxing;;;;;0;;;;;
chboxing;Champion Boxing;MAME (Mame4all);;1984;Sega;Sports/Boxing;;;;;0;;;;;
Contender 2 (USA);Contender 2 (USA);Sony PlayStation;;2000;Bam Entertainment;Sports/Boxing;;;;;0;;;;;
Contender 2 (USA);Contender 2 (USA);Sony PSP;;2000;Bam Entertainment;Sports/Boxing;;;;;0;;;;;
Contender (USA);Contender (USA);Sony PlayStation;;1999;SCEA;Sports/Boxing;;;;;0;;;;;
Contender (USA);Contender (USA);Sony PSP;;1999;SCEA;Sports/Boxing;;;;;0;;;;;
Current Contenders Cassette - As At 28-02-90 (Europe);Current Contenders Cassette - As At 28-02-90 (Europe);Sinclair ZX Spectrum;;1990;Lambourne Games;Sports/Boxing;;;;;0;;;;;
Devastating Blow - 1 Player (Europe);Devastating Blow - 1 Player (Europe);Sinclair ZX Spectrum;;1991;Beyond Belief;Sports/Boxing;;;;;0;;;;;
Devastating Blow - 2 Players (Europe);Devastating Blow - 2 Players (Europe);Sinclair ZX Spectrum;;1991;Beyond Belief;Sports/Boxing;;;;;0;;;;;
Devastating Blow (Europe);Devastating Blow (Europe);Commodore 64;;1992;Beyond Belief;Sports/Boxing;;;;;0;;;;;
Evander Holyfield Boxing (USA, Europe);Evander Holyfield Boxing (USA, Europe);Sega Game Gear;;1992;Sega;Sports/Boxing;;;;;0;;;;;
Evander Holyfield's 'Real Deal' Boxing (World);Evander Holyfield's 'Real Deal' Boxing (World);Sega Genesis;;1992;ACME Interactive;Sports/Boxing;;;;;0;;;;;
Exciting Boxing (Japan);Exciting Boxing (Japan);Nintendo Famicom;;1987;Konami;Sports/Boxing;;;;;0;;;;;
Family Boxing - MSX Title Match (Japan);Family Boxing - MSX Title Match (Japan);Microsoft MSX2;;1988;SCEI;Sports;;;;;0;;;;;
Feature Bout Boxing (USA) (Unl);Feature Bout Boxing (USA) (Unl);Commodore 64;;1996;System 4 Software;Sports/Boxing;;;;;0;;;;;
fhboxers;Funky Head Boxers (JUETBKAL 951218 V1.000);Arcade;;1995;Sega;Sports / Boxing;;;;;0;;;;;
fhboxers;Funky Head Boxers (JUETBKAL 951218 V1.000);Arcade;;1995;Sega;Sports/Boxing;;;;;0;;;;;
fhboxers;Funky Head Boxers (JUETBKAL 951218 V1.000);Final Burn Alpha;;1995;Sega;Sports/Boxing;;;;;0;;;;;
fhboxers;Funky Head Boxers (JUETBKAL 951218 V1.000);MAME (Advance);;1995;Sega;Sports / Boxing;;;;;0;;;;;
fhboxers;Funky Head Boxers (JUETBKAL 951218 V1.000);MAME (Advance);;1995;Sega;Sports/Boxing;;;;;0;;;;;
fhboxers;Funky Head Boxers (JUETBKAL 951218 V1.000);MAME (Libretro);;1995;Sega;Sports / Boxing;;;;;0;;;;;
fhboxers;Funky Head Boxers (JUETBKAL 951218 V1.000);MAME (Libretro);;1995;Sega;Sports/Boxing;;;;;0;;;;;
fhboxers;Funky Head Boxers (JUETBKAL 951218 V1.000);MAME (Mame4all);;1995;Sega;Sports / Boxing;;;;;0;;;;;
fhboxers;Funky Head Boxers (JUETBKAL 951218 V1.000);MAME (Mame4all);;1995;Sega;Sports/Boxing;;;;;0;;;;;
Fight Night (Europe);Fight Night (Europe);Commodore 64;;1985;US Gold;Sports/Boxing;;;;;0;;;;;
finalb;Final Blow (World);Arcade;;1988;Taito Corporation Japan;Sports / Boxing;;;;;0;;;;;
finalb;Final Blow (World);Arcade;;1988;Taito Corporation Japan;Sports/Boxing;;;;;0;;;;;
finalb;Final Blow (World);Final Burn Alpha;;1988;Taito Corporation Japan;Sports/Boxing;;;;;0;;;;;
finalb;Final Blow (World);MAME (Advance);;1988;Taito Corporation Japan;Sports / Boxing;;;;;0;;;;;
finalb;Final Blow (World);MAME (Advance);;1988;Taito Corporation Japan;Sports/Boxing;;;;;0;;;;;
finalb;Final Blow (World);MAME (Libretro);;1988;Taito Corporation Japan;Sports / Boxing;;;;;0;;;;;
finalb;Final Blow (World);MAME (Libretro);;1988;Taito Corporation Japan;Sports/Boxing;;;;;0;;;;;
finalb;Final Blow (World);MAME (Mame4all);;1988;Taito Corporation Japan;Sports / Boxing;;;;;0;;;;;
finalb;Final Blow (World);MAME (Mame4all);;1988;Taito Corporation Japan;Sports/Boxing;;;;;0;;;;;
finalbj;Final Blow (Japan);Arcade;finalb;1988;Taito Corporation;Sports / Boxing;;;;;0;;;;;
finalbj;Final Blow (Japan);Arcade;finalb;1988;Taito Corporation;Sports/Boxing;;;;;0;;;;;
finalbj;Final Blow (Japan);Final Burn Alpha;finalb;1988;Taito Corporation;Sports/Boxing;;;;;0;;;;;
finalbj;Final Blow (Japan);MAME (Advance);finalb;1988;Taito Corporation;Sports / Boxing;;;;;0;;;;;
finalbj;Final Blow (Japan);MAME (Advance);finalb;1988;Taito Corporation;Sports/Boxing;;;;;0;;;;;
finalbj;Final Blow (Japan);MAME (Libretro);finalb;1988;Taito Corporation;Sports / Boxing;;;;;0;;;;;
finalbj;Final Blow (Japan);MAME (Libretro);finalb;1988;Taito Corporation;Sports/Boxing;;;;;0;;;;;
finalbj;Final Blow (Japan);MAME (Mame4all);finalb;1988;Taito Corporation;Sports / Boxing;;;;;0;;;;;
finalbj;Final Blow (Japan);MAME (Mame4all);finalb;1988;Taito Corporation;Sports/Boxing;;;;;0;;;;;
Final Blow (Europe);Final Blow (Europe);Atari ST;;1991;Storm;Sports/Boxing;;;;;0;;;;;
Final Blow (USA);Final Blow (USA);Commodore 64;;1991;Storm;Sports/Boxing;;;;;0;;;;;
finalbu;Final Blow (US);Arcade;finalb;1988;Taito America Corporation;Sports / Boxing;;;;;0;;;;;
finalbu;Final Blow (US);Arcade;finalb;1988;Taito America Corporation;Sports/Boxing;;;;;0;;;;;
finalbu;Final Blow (US);Final Burn Alpha;finalb;1988;Taito America Corporation;Sports/Boxing;;;;;0;;;;;
finalbu;Final Blow (US);MAME (Advance);finalb;1988;Taito America Corporation;Sports / Boxing;;;;;0;;;;;
finalbu;Final Blow (US);MAME (Advance);finalb;1988;Taito America Corporation;Sports/Boxing;;;;;0;;;;;
finalbu;Final Blow (US);MAME (Libretro);finalb;1988;Taito America Corporation;Sports / Boxing;;;;;0;;;;;
finalbu;Final Blow (US);MAME (Libretro);finalb;1988;Taito America Corporation;Sports/Boxing;;;;;0;;;;;
finalbu;Final Blow (US);MAME (Mame4all);finalb;1988;Taito America Corporation;Sports / Boxing;;;;;0;;;;;
finalbu;Final Blow (US);MAME (Mame4all);finalb;1988;Taito America Corporation;Sports/Boxing;;;;;0;;;;;
Flintstones, The (USA);Flintstones, The (USA);Sega Genesis;;1995;Software Creations;Sports/Boxing;;;;;0;;;;;
Foes of Ali (USA);Foes of Ali (USA);Panasonic 3DO;;1995;Electronic Arts;Sports/Boxing;;;;;0;;;;;
Foreman for Real (USA, Europe);Foreman for Real (USA, Europe);Nintendo Game Boy;;1995;Acclaim;Sports/Boxing;;;;;0;;;;;
Foreman For Real (USA);Foreman For Real (USA);Super Nintendo Entertainment System;;1995;Acclaim;Sports/Boxing;;;;;0;;;;;
Foreman for Real (World);Foreman for Real (World);Sega Game Gear;;1995;Acclaim;Sports/Boxing;;;;;0;;;;;
Frank Bruno's Boxing (Europe);Frank Bruno's Boxing (Europe);Amstrad CPC;;1985;Elite Systems;Sports/Boxing;;;;;0;;;;;
Frank Bruno's Boxing (Europe);Frank Bruno's Boxing (Europe);Commodore 64;;1985;Elite;Sports/Boxing;;;;;0;;;;;
Frank Bruno's Boxing (Europe);Frank Bruno's Boxing (Europe);Sinclair ZX Spectrum;;1985;Elite Systems;Sports/Boxing;;;;;0;;;;;
froundl;The Final Round (version L);Arcade;fround;1988;Konami;Sports / Boxing;;;;;0;;;;;
froundl;The Final Round (version L);Arcade;fround;1988;Konami;Sports/Boxing;;;;;0;;;;;
froundl;The Final Round (version L);Final Burn Alpha;fround;1988;Konami;Sports/Boxing;;;;;0;;;;;
froundl;The Final Round (version L);MAME (Advance);fround;1988;Konami;Sports / Boxing;;;;;0;;;;;
froundl;The Final Round (version L);MAME (Advance);fround;1988;Konami;Sports/Boxing;;;;;0;;;;;
froundl;The Final Round (version L);MAME (Libretro);fround;1988;Konami;Sports / Boxing;;;;;0;;;;;
froundl;The Final Round (version L);MAME (Libretro);fround;1988;Konami;Sports/Boxing;;;;;0;;;;;
froundl;The Final Round (version L);MAME (Mame4all);fround;1988;Konami;Sports / Boxing;;;;;0;;;;;
froundl;The Final Round (version L);MAME (Mame4all);fround;1988;Konami;Sports/Boxing;;;;;0;;;;;
fround;The Final Round (version M);Arcade;;1988;Konami;Sports / Boxing;;;;;0;;;;;
fround;The Final Round (version M);Arcade;;1988;Konami;Sports/Boxing;;;;;0;;;;;
fround;The Final Round (version M);Final Burn Alpha;;1988;Konami;Sports/Boxing;;;;;0;;;;;
fround;The Final Round (version M);MAME (Advance);;1988;Konami;Sports / Boxing;;;;;0;;;;;
fround;The Final Round (version M);MAME (Advance);;1988;Konami;Sports/Boxing;;;;;0;;;;;
fround;The Final Round (version M);MAME (Libretro);;1988;Konami;Sports / Boxing;;;;;0;;;;;
fround;The Final Round (version M);MAME (Libretro);;1988;Konami;Sports/Boxing;;;;;0;;;;;
fround;The Final Round (version M);MAME (Mame4all);;1988;Konami;Sports / Boxing;;;;;0;;;;;
fround;The Final Round (version M);MAME (Mame4all);;1988;Konami;Sports/Boxing;;;;;0;;;;;
George Foreman's KO Boxing (Europe);George Foreman's KO Boxing (Europe);Sega Master System;;1992;Flying Edge;Sports/Boxing;;;;;0;;;;;
George Foreman's KO Boxing (USA, Europe);George Foreman's KO Boxing (USA, Europe);Nintendo Game Boy;;1992;Acclaim;Sports/Boxing;;;;;0;;;;;
George Foreman's KO Boxing (USA, Europe);George Foreman's KO Boxing (USA, Europe);Sega Game Gear;;1992;Flying Edge;Sports/Boxing;;;;;0;;;;;
George Foreman's KO Boxing (USA);George Foreman's KO Boxing (USA);Nintendo Entertainment System;;1992;Acclaim;Sports/Boxing;;;;;0;;;;;
George Foreman's KO Boxing (USA);George Foreman's KO Boxing (USA);Sega Genesis;;1992;Beam Software;Sports/Boxing;;;;;0;;;;;
George Foreman's KO Boxing (USA);George Foreman's KO Boxing (USA);Super Nintendo Entertainment System;;1992;Acclaim;Sports/Boxing;;;;;0;;;;;
Greatest Heavyweights (USA);Greatest Heavyweights (USA);Sega Genesis;;1994;Sega;Sports/Boxing;;;;;0;;;;;
HBO Boxing (USA);HBO Boxing (USA);Sony PlayStation;;2000;Acclaim;Sports/Boxing;;;;;0;;;;;
HBO Boxing (USA);HBO Boxing (USA);Sony PSP;;2000;Acclaim;Sports/Boxing;;;;;0;;;;;
Heavyweight Championship Boxing (USA);Heavyweight Championship Boxing (USA);Nintendo Game Boy;;1990;Tokyo Shoseki;Sports/Boxing;;;;;0;;;;;
hpuncher;Hard Puncher (Japan);Arcade;fround;1988;Konami;Sports / Boxing;;;;;0;;;;;
hpuncher;Hard Puncher (Japan);Arcade;fround;1988;Konami;Sports/Boxing;;;;;0;;;;;
hpuncher;Hard Puncher (Japan);Final Burn Alpha;fround;1988;Konami;Sports/Boxing;;;;;0;;;;;
hpuncher;Hard Puncher (Japan);MAME (Advance);fround;1988;Konami;Sports / Boxing;;;;;0;;;;;
hpuncher;Hard Puncher (Japan);MAME (Advance);fround;1988;Konami;Sports/Boxing;;;;;0;;;;;
hpuncher;Hard Puncher (Japan);MAME (Libretro);fround;1988;Konami;Sports / Boxing;;;;;0;;;;;
hpuncher;Hard Puncher (Japan);MAME (Libretro);fround;1988;Konami;Sports/Boxing;;;;;0;;;;;
hpuncher;Hard Puncher (Japan);MAME (Mame4all);fround;1988;Konami;Sports / Boxing;;;;;0;;;;;
hpuncher;Hard Puncher (Japan);MAME (Mame4all);fround;1988;Konami;Sports/Boxing;;;;;0;;;;;
hwchamp;Heavyweight Champ;Arcade;;1987;Sega;Sports / Boxing;;;;;0;;;;;
