#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Vs. (USA);Vs. (USA);Sony PlayStation;;;;;;;;;;;;;;
Aironauts (Europe) (En,Fr,De);Aironauts (Europe) (En,Fr,De);Sony PlayStation;;1999;Red Storm Entertainment, Inc.;Action;1;;;;;;;;;
Akuji the Heartless (USA);Akuji the Heartless (USA);Sony PlayStation;;1998;Eidos;Action;1;;;;;;;;;
Alex Ferguson's Player Manager 2001 (Europe);Alex Ferguson's Player Manager 2001 (Europe);Sony PlayStation;;;;;;;;;;;;;;
Alex Ferguson's Player Manager 2002 (Europe);Alex Ferguson's Player Manager 2002 (Europe);Sony PlayStation;;;;;;;;;;;;;;
Alexi Lalas International Soccer (USA) (En,Fr,De,Es,It);Alexi Lalas International Soccer (USA) (En,Fr,De,Es,It);Sony PlayStation;;1999;Take-Two;Sports;;;;;;;;;;
Alfred Chicken (Europe) (En,Fr,De,Es,It);Alfred Chicken (Europe) (En,Fr,De,Es,It);Sony PlayStation;;;;;;;;;;;;;;
Alien Resurrection (USA);Alien Resurrection (USA);Sony PlayStation;;2000;Fox Interactive;Action / Shooter;1;;;;;;;;;
Alien Trilogy (USA);Alien Trilogy (USA);Sony PlayStation;;1996;Acclaim;Action / Shooter;1;;;;;;;;;
All Star Action (Europe);All Star Action (Europe);Sony PlayStation;;;Phoenix Games;Sports;;;;;;;;;;
All Star Racing (USA);All Star Racing (USA);Sony PlayStation;;2002;Mud Duck;Racing;;;;;;;;;;
All Star Racing 2 (USA);All Star Racing 2 (USA);Sony PlayStation;;2003;Mud Duck;Racing;;;;;;;;;;
All Star Soccer (Europe) (En,Fr,De,It);All Star Soccer (Europe) (En,Fr,De,It);Sony PlayStation;;;Eidos;Sports;2;;;;;;;;;
All Star Tennis '99 (Europe) (En,Fr,De,Es,It);All Star Tennis '99 (Europe) (En,Fr,De,Es,It);Sony PlayStation;;;;;;;;;;;;;;
All Star Tennis 2000 (Europe) (En,De,Es,It);All Star Tennis 2000 (Europe) (En,De,Es,It);Sony PlayStation;;;;;;;;;;;;;;
All Star Watersports (Europe);All Star Watersports (Europe);Sony PlayStation;;;;;;;;;;;;;;
All-Star Baseball 97 featuring Frank Thomas (USA);All-Star Baseball 97 featuring Frank Thomas (USA);Sony PlayStation;;;;;;;;;;;;;;
All-Star Slammin' D-Ball (USA);All-Star Slammin' D-Ball (USA);Sony PlayStation;;2001;A1 Games;Sports;2;;;;;;;;;
Allied General (USA);Allied General (USA);Sony PlayStation;;1996;Mindscape;;;;;;;;;;;
Alone in the Dark - One-Eyed Jack's Revenge (USA);Alone in the Dark - One-Eyed Jack's Revenge (USA);Sony PlayStation;;;;;;;;;;;;;;
