atetrisc;Tetris (cocktail set 1);MAME (Mame4all);atetris;1989;Atari Games;Puzzle;;;;;0;;;;;
atetrisc;Tetris (cocktail set 1);MAME (Mame4all);atetris;1989;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetrisc;Tetris (cocktail set 1) [No sound];Final Burn Alpha;atetris;1989;Atari Games;;;;;;0;;;;;
atetris;Tetris (set 1);Arcade;;1988;Atari Games;Puzzle;;;;;0;;;;;
atetris;Tetris (set 1);Arcade;;1988;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetris;Tetris (set 1);Final Burn Alpha;;1988;Atari Games;Puzzle;;;;;0;;;;;
atetris;Tetris (set 1);MAME (Advance);;1988;Atari Games;Puzzle;;;;;0;;;;;
atetris;Tetris (set 1);MAME (Advance);;1988;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetris;Tetris (set 1);MAME (Libretro);;1988;Atari Games;Puzzle;;;;;0;;;;;
atetris;Tetris (set 1);MAME (Libretro);;1988;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetris;Tetris (set 1);MAME (Mame4all);;1988;Atari Games;Puzzle;;;;;0;;;;;
atetris;Tetris (set 1);MAME (Mame4all);;1988;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetris;Tetris (set 1) [No sound];Final Burn Alpha;;1988;Atari Games;;;;;;0;;;;;
cmtetris;Tetris + Cherry Master (Corsica, v8.01, set 1);Arcade;;198?;"&lt;unknown&gt;";Casino / Reels;;;;;0;;;;;
cmtetris;Tetris + Cherry Master (Corsica, v8.01, set 1);Final Burn Alpha;;198?;"&lt;unknown&gt;";Casino / Reels;;;;;0;;;;;
cmtetris;Tetris + Cherry Master (Corsica, v8.01, set 1);MAME (Advance);;198?;"&lt;unknown&gt;";Casino / Reels;;;;;0;;;;;
cmtetris;Tetris + Cherry Master (Corsica, v8.01, set 1);MAME (Libretro);;198?;"&lt;unknown&gt;";Casino / Reels;;;;;0;;;;;
cmtetris;Tetris + Cherry Master (Corsica, v8.01, set 1);MAME (Mame4all);;198?;"&lt;unknown&gt;";Casino / Reels;;;;;0;;;;;
Fa Tetris (Korea) (Unl);Fa Tetris (Korea) (Unl);Microsoft MSX;;;;;;;;;0;;;;;
finalttr;Final Tetris;Arcade;;1993;Jeil Computer System;Puzzle / Drop;;;;;0;;;;;
finalttr;Final Tetris;Final Burn Alpha;;1993;Jeil Computer System;;;;;;0;;;;;
finalttr;Final Tetris;Final Burn Alpha;;1993;Jeil Computer System;Puzzle / Drop;;;;;0;;;;;
finalttr;Final Tetris;MAME (Advance);;1993;Jeil Computer System;Puzzle / Drop;;;;;0;;;;;
finalttr;Final Tetris;MAME (Libretro);;1993;Jeil Computer System;Puzzle / Drop;;;;;0;;;;;
finalttr;Final Tetris;MAME (Mame4all);;1993;Jeil Computer System;Puzzle / Drop;;;;;0;;;;;
Gameboy Tetris (Europe) (Unl);Gameboy Tetris (Europe) (Unl);Commodore 64;;1992;Commodore Zone;Puzzle;;;;;0;;;;;
Magical Tetris Challenge (Europe);Magical Tetris Challenge (Europe);Sony PlayStation;;1999;SCEE;Puzzle;;;;;0;;;;;
Magical Tetris Challenge (Europe);Magical Tetris Challenge (Europe);Sony PSP;;1999;SCEE;Puzzle;;;;;0;;;;;
Magical Tetris Challenge (USA);Magical Tetris Challenge (USA);Nintendo 64;;1999;Capcom;Puzzle;;;;;0;;;;;
Magical Tetris Challenge (USA);Magical Tetris Challenge (USA);Nintendo Game Boy Color;;2000;Capcom;Puzzle;;;;;0;;;;;
Motley Tetris (Germany);Motley Tetris (Germany);Commodore 64;;1994;Markt & Technik;Puzzle;;;;;0;;;;;
