Bishoujo Senshi Sailor Moon - Another Story (Japan) (Translated En);Bishoujo Senshi Sailor Moon - Another Story (Japan) (Translated En);Nintendo Super Famicom;;1995;Angel (Bandai);Role-Playing;;;;;0;;;;;
sailormnj;Pretty Soldier Sailor Moon (ver. 95/03/22B, Japan);MAME (Advance);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnj;Pretty Soldier Sailor Moon (Ver. 95/03/22B, Japan);MAME (Advance);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnj;Pretty Soldier Sailor Moon (ver. 95/03/22B, Japan);MAME (Libretro);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnj;Pretty Soldier Sailor Moon (Ver. 95/03/22B, Japan);MAME (Libretro);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnj;Pretty Soldier Sailor Moon (ver. 95/03/22B, Japan);MAME (Mame4all);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnj;Pretty Soldier Sailor Moon (Ver. 95/03/22B, Japan);MAME (Mame4all);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnk;Pretty Soldier Sailor Moon (ver. 95/03/22B, Korea);Arcade;sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnk;Pretty Soldier Sailor Moon (Ver. 95/03/22B, Korea);Arcade;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnk;Pretty Soldier Sailor Moon (ver. 95/03/22B, Korea);Final Burn Alpha;sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnk;Pretty Soldier Sailor Moon (Ver. 95/03/22B, Korea);Final Burn Alpha;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnk;Pretty Soldier Sailor Moon (ver. 95/03/22B, Korea);MAME (Advance);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnk;Pretty Soldier Sailor Moon (Ver. 95/03/22B, Korea);MAME (Advance);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnk;Pretty Soldier Sailor Moon (ver. 95/03/22B, Korea);MAME (Libretro);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnk;Pretty Soldier Sailor Moon (Ver. 95/03/22B, Korea);MAME (Libretro);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnk;Pretty Soldier Sailor Moon (ver. 95/03/22B, Korea);MAME (Mame4all);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnk;Pretty Soldier Sailor Moon (Ver. 95/03/22B, Korea);MAME (Mame4all);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnoh;Pretty Soldier Sailor Moon (ver. 95/03/22, Hong Kong);Arcade;sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnoh;Pretty Soldier Sailor Moon (Ver. 95/03/22, Hong Kong);Arcade;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnoh;Pretty Soldier Sailor Moon (ver. 95/03/22, Hong Kong);Final Burn Alpha;sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
