aliencr;Alien Crush;Arcade;;1989;Hudson Soft;Pinball;;;;;0;;;;;
aliencr;Alien Crush;MAME (Advance);;1989;Hudson Soft;Pinball;;;;;0;;;;;
aliencr;Alien Crush;MAME (Libretro);;1989;Hudson Soft;Pinball;;;;;0;;;;;
aliencr;Alien Crush;MAME (Mame4all);;1989;Hudson Soft;Pinball;;;;;0;;;;;
Alien Crush (USA);Alien Crush (USA);NEC TurboGrafx-16;;1989;Turbo Technologies, Inc.;Pinball;;;;;0;;;;;
alpok_f6;Alien Poker (L-6 French speech);Arcade;alpok_l6;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_f6;Alien Poker (L-6 French speech);MAME (Advance);alpok_l6;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_f6;Alien Poker (L-6 French speech);MAME (Libretro);alpok_l6;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_f6;Alien Poker (L-6 French speech);MAME (Mame4all);alpok_l6;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_l2;Alien Poker (L-2);Arcade;alpok_l6;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_l2;Alien Poker (L-2);MAME (Advance);alpok_l6;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_l2;Alien Poker (L-2);MAME (Libretro);alpok_l6;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_l2;Alien Poker (L-2);MAME (Mame4all);alpok_l6;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_l6;Alien Poker (L-6);Arcade;;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_l6;Alien Poker (L-6);MAME (Advance);;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_l6;Alien Poker (L-6);MAME (Libretro);;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_l6;Alien Poker (L-6);MAME (Mame4all);;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
america;America 1492;Arcade;;1986;Juegos Populares;Electromechanical / Pinball;;;;;0;;;;;
america;America 1492;MAME (Advance);;1986;Juegos Populares;Electromechanical / Pinball;;;;;0;;;;;
america;America 1492;MAME (Libretro);;1986;Juegos Populares;Electromechanical / Pinball;;;;;0;;;;;
america;America 1492;MAME (Mame4all);;1986;Juegos Populares;Electromechanical / Pinball;;;;;0;;;;;
aqualand;Aqualand;Arcade;;1986;Juegos Populares;Electromechanical / Pinball;;;;;0;;;;;
aqualand;Aqualand;MAME (Advance);;1986;Juegos Populares;Electromechanical / Pinball;;;;;0;;;;;
aqualand;Aqualand;MAME (Libretro);;1986;Juegos Populares;Electromechanical / Pinball;;;;;0;;;;;
aqualand;Aqualand;MAME (Mame4all);;1986;Juegos Populares;Electromechanical / Pinball;;;;;0;;;;;
atarians;The Atarians;Arcade;;1976;Atari;Electromechanical / Pinball;;;;;0;;;;;
atarians;The Atarians;MAME (Advance);;1976;Atari;Electromechanical / Pinball;;;;;0;;;;;
atarians;The Atarians;MAME (Libretro);;1976;Atari;Electromechanical / Pinball;;;;;0;;;;;
atarians;The Atarians;MAME (Mame4all);;1976;Atari;Electromechanical / Pinball;;;;;0;;;;;
atla_ltd;Atlantis (LTD);Arcade;;1981;LTD;Electromechanical / Pinball;;;;;0;;;;;
atla_ltd;Atlantis (LTD);MAME (Advance);;1981;LTD;Electromechanical / Pinball;;;;;0;;;;;
