galap1;Space Invaders Galactica (galaxiana hack);MAME (Libretro);galaxian;1979;hack;Shooter / Gallery;;;;;0;;;;;
galap1;Space Invaders Galactica (galaxiana hack);MAME (Mame4all);galaxian;1979;hack;Shooter / Gallery;;;;;0;;;;;
galmonst;Galaxy Monsters (Laguna S.A. Spanish bootleg of Space Invaders);Arcade;invaders;1978;bootleg (Laguna S.A.);Shooter / Gallery;;;;;0;;;;;
galmonst;Galaxy Monsters (Laguna S.A. Spanish bootleg of Space Invaders);MAME (Advance);invaders;1978;bootleg (Laguna S.A.);Shooter / Gallery;;;;;0;;;;;
galmonst;Galaxy Monsters (Laguna S.A. Spanish bootleg of Space Invaders);MAME (Libretro);invaders;1978;bootleg (Laguna S.A.);Shooter / Gallery;;;;;0;;;;;
galmonst;Galaxy Monsters (Laguna S.A. Spanish bootleg of Space Invaders);MAME (Mame4all);invaders;1978;bootleg (Laguna S.A.);Shooter / Gallery;;;;;0;;;;;
invad2ct;Space Invaders II (Midway, cocktail);Arcade;;1980;Midway;Shooter / Gallery;;;;;0;;;;;
invad2ct;Space Invaders II (Midway, cocktail);MAME (Advance);;1980;Midway;Shooter / Gallery;;;;;0;;;;;
invad2ct;Space Invaders II (Midway, cocktail);MAME (Libretro);;1980;Midway;Shooter / Gallery;;;;;0;;;;;
invad2ct;Space Invaders II (Midway, cocktail);MAME (Mame4all);;1980;Midway;Shooter / Gallery;;;;;0;;;;;
invaddlx;Space Invaders Deluxe;Arcade;invadpt2;1980;Taito (Midway license);Shooter / Gallery;;;;;0;;;;;
invaddlx;Space Invaders Deluxe;MAME (Advance);invadpt2;1980;Taito (Midway license);Shooter / Gallery;;;;;0;;;;;
invaddlx;Space Invaders Deluxe;MAME (Libretro);invadpt2;1980;Taito (Midway license);Shooter / Gallery;;;;;0;;;;;
invaddlx;Space Invaders Deluxe;MAME (Mame4all);invadpt2;1980;Taito (Midway license);Shooter / Gallery;;;;;0;;;;;
invader4;Space Invaders Part Four;Arcade;invaders;1978;bootleg;Shooter / Gallery;;;;;0;;;;;
invader4;Space Invaders Part Four;MAME (Advance);invaders;1978;bootleg;Shooter / Gallery;;;;;0;;;;;
invader4;Space Invaders Part Four;MAME (Libretro);invaders;1978;bootleg;Shooter / Gallery;;;;;0;;;;;
invader4;Space Invaders Part Four;MAME (Mame4all);invaders;1978;bootleg;Shooter / Gallery;;;;;0;;;;;
invaderl;Space Invaders (Logitec);Arcade;invaders;1978;Taito / Logitec;Shooter / Gallery;;;;;0;;;;;
invaderl;Space Invaders (Logitec);MAME (Advance);invaders;1978;Taito / Logitec;Shooter / Gallery;;;;;0;;;;;
invaderl;Space Invaders (Logitec);MAME (Libretro);invaders;1978;Taito / Logitec;Shooter / Gallery;;;;;0;;;;;
invaderl;Space Invaders (Logitec);MAME (Mame4all);invaders;1978;Taito / Logitec;Shooter / Gallery;;;;;0;;;;;
invaders;Space Invaders / Space Invaders M;Arcade;;1978;Taito / Midway;Shooter / Gallery;;;;;0;;;;;
