Aoki Densetsu Shoot! (Japan);Aoki Densetsu Shoot! (Japan);Nintendo Super Famicom;;1994;Affect;Sports/Soccer;;;;;0;;;;;
ar_socc;World Trophy Soccer (Arcadia, V 3.0);Arcade;;1989;Arcadia Systems;Sports / Soccer;;;;;0;;;;;
ar_socc;World Trophy Soccer (Arcadia, V 3.0);Final Burn Alpha;;1989;Arcadia Systems;Sports / Soccer;;;;;0;;;;;
ar_socc;World Trophy Soccer (Arcadia, V 3.0);MAME (Advance);;1989;Arcadia Systems;Sports / Soccer;;;;;0;;;;;
ar_socc;World Trophy Soccer (Arcadia, V 3.0);MAME (Libretro);;1989;Arcadia Systems;Sports / Soccer;;;;;0;;;;;
ar_socc;World Trophy Soccer (Arcadia, V 3.0);MAME (Mame4all);;1989;Arcadia Systems;Sports / Soccer;;;;;0;;;;;
asoccer;American Soccer;Arcade;idsoccer;1987;Universal;Sports / Soccer;;;;;0;;;;;
asoccer;American Soccer;Final Burn Alpha;idsoccer;1987;Universal;Sports / Soccer;;;;;0;;;;;
asoccer;American Soccer;MAME (Advance);idsoccer;1987;Universal;Sports / Soccer;;;;;0;;;;;
asoccer;American Soccer;MAME (Libretro);idsoccer;1987;Universal;Sports / Soccer;;;;;0;;;;;
asoccer;American Soccer;MAME (Mame4all);idsoccer;1987;Universal;Sports / Soccer;;;;;0;;;;;
AWS Pro Moves Soccer (USA);AWS Pro Moves Soccer (USA);Sega Genesis;;1993;ASCII Entertainment;Sports/Soccer;;;;;0;;;;;
Backyard Soccer (USA);Backyard Soccer (USA);Sony PlayStation;;2001;Infogrames;Sports/Soccer;;;;;0;;;;;
Backyard Soccer (USA);Backyard Soccer (USA);Sony PSP;;2001;Infogrames;Sports/Soccer;;;;;0;;;;;
Battle Soccer 2 (Japan);Battle Soccer 2 (Japan);Nintendo Super Famicom;;1994;Pandora Box;Sports/Soccer;;;;;0;;;;;
Battle Soccer - Field no Hasha (Japan) (Translated En);Battle Soccer - Field no Hasha (Japan) (Translated En);Nintendo Super Famicom;;1992;Pandora Box;Sports/Soccer;;;;;0;;;;;
bestleag;Best League (bootleg of Big Striker, Italian Serie A);Arcade;bigstrik;1993;bootleg;Sports / Soccer;;;;;0;;;;;
bestleag;Best League (bootleg of Big Striker, Italian Serie A);Final Burn Alpha;bigstrik;1993;bootleg;Sports / Soccer;;;;;0;;;;;
bestleag;Best League (bootleg of Big Striker, Italian Serie A);MAME (Advance);bigstrik;1993;bootleg;Sports / Soccer;;;;;0;;;;;
bestleag;Best League (bootleg of Big Striker, Italian Serie A);MAME (Libretro);bigstrik;1993;bootleg;Sports / Soccer;;;;;0;;;;;
bestleag;Best League (bootleg of Big Striker, Italian Serie A);MAME (Mame4all);bigstrik;1993;bootleg;Sports / Soccer;;;;;0;;;;;
bestleaw;Best League (bootleg of Big Striker, World Cup);Arcade;bigstrik;1993;bootleg;Sports / Soccer;;;;;0;;;;;
bestleaw;Best League (bootleg of Big Striker, World Cup);Final Burn Alpha;bigstrik;1993;bootleg;Sports / Soccer;;;;;0;;;;;
bestleaw;Best League (bootleg of Big Striker, World Cup);MAME (Advance);bigstrik;1993;bootleg;Sports / Soccer;;;;;0;;;;;
bestleaw;Best League (bootleg of Big Striker, World Cup);MAME (Libretro);bigstrik;1993;bootleg;Sports / Soccer;;;;;0;;;;;
bestleaw;Best League (bootleg of Big Striker, World Cup);MAME (Mame4all);bigstrik;1993;bootleg;Sports / Soccer;;;;;0;;;;;
Big League Soccer 2 (Europe);Big League Soccer 2 (Europe);Amstrad CPC;;1985;Viper;Sports/Soccer;;;;;0;;;;;
Big League Soccer (Europe);Big League Soccer (Europe);Amstrad CPC;;1985;Viper;Sports/Soccer;;;;;0;;;;;
Big Match Soccer (Europe);Big Match Soccer (Europe);Sinclair ZX Spectrum;;1983;Wintersoft;Sports/Soccer;;;;;0;;;;;
bigstrik;Big Striker;Arcade;;1992;Jaleco;Sports / Soccer;;;;;0;;;;;
bigstrik;Big Striker;Final Burn Alpha;;1992;Jaleco;Sports / Soccer;;;;;0;;;;;
bigstrik;Big Striker;MAME (Advance);;1992;Jaleco;Sports / Soccer;;;;;0;;;;;
bigstrik;Big Striker;MAME (Libretro);;1992;Jaleco;Sports / Soccer;;;;;0;;;;;
bigstrik;Big Striker;MAME (Mame4all);;1992;Jaleco;Sports / Soccer;;;;;0;;;;;
bigstrkba;Big Striker (bootleg w/Italian teams);Arcade;bigstrik;1992;bootleg;Sports / Soccer;;;;;0;;;;;
bigstrkba;Big Striker (bootleg w/Italian teams);Final Burn Alpha;bigstrik;1992;bootleg;Sports / Soccer;;;;;0;;;;;
bigstrkba;Big Striker (bootleg w/Italian teams);MAME (Advance);bigstrik;1992;bootleg;Sports / Soccer;;;;;0;;;;;
bigstrkba;Big Striker (bootleg w/Italian teams);MAME (Libretro);bigstrik;1992;bootleg;Sports / Soccer;;;;;0;;;;;
bigstrkba;Big Striker (bootleg w/Italian teams);MAME (Mame4all);bigstrik;1992;bootleg;Sports / Soccer;;;;;0;;;;;
bigstrkb;Big Striker (bootleg);Arcade;bigstrik;1992;bootleg;Sports / Soccer;;;;;0;;;;;
bigstrkb;Big Striker (bootleg);Final Burn Alpha;bigstrik;1992;bootleg;Sports / Soccer;;;;;0;;;;;
bigstrkb;Big Striker (bootleg);MAME (Advance);bigstrik;1992;bootleg;Sports / Soccer;;;;;0;;;;;
bigstrkb;Big Striker (bootleg);MAME (Libretro);bigstrik;1992;bootleg;Sports / Soccer;;;;;0;;;;;
bigstrkb;Big Striker (bootleg);MAME (Mame4all);bigstrik;1992;bootleg;Sports / Soccer;;;;;0;;;;;
Block Soccer (USA) (Unl);Block Soccer (USA) (Unl);Commodore 64;;2007;Manic Mailman Designs (MMD);Sports/Soccer;;;;;0;;;;;
Bodo Illgner's Super Soccer (Germany);Bodo Illgner's Super Soccer (Germany);Amstrad CPC;;1990;Empire Software;Sports/Soccer;;;;;0;;;;;
Boss, The (Europe);Boss, The (Europe);Sinclair ZX Spectrum;;1984;Peaksoft;Sports/Soccer;;;;;0;;;;;
Brian Clough's Footbal Fortunes (Europe);Brian Clough's Footbal Fortunes (Europe);Amstrad CPC;;1987;CDS Microsystems;Sports/Soccer;;;;;0;;;;;
Brian Clough's Football Fortunes (Europe);Brian Clough's Football Fortunes (Europe);Atari ST;;1987;CDS Software;Sports/Soccer;;;;;0;;;;;
British Super League (Europe);British Super League (Europe);Amstrad CPC;;1990;Cult;Sports/Soccer;;;;;0;;;;;
British Super League (Europe);British Super League (Europe);Commodore 64;;1990;Cult Games;Sports/Soccer;;;;;0;;;;;
British Super League (Europe);British Super League (Europe);Sinclair ZX Spectrum;;1989;Cult Games;Sports/Soccer;;;;;0;;;;;
bssoccera;Back Street Soccer (KRB-0032A PCB);Arcade;bssoccer;1996;SunA (Unico license);Sports / Soccer;;;;;0;;;;;
bssoccera;Back Street Soccer (KRB-0032A PCB);Final Burn Alpha;bssoccer;1996;SunA (Unico license);Sports / Soccer;;;;;0;;;;;
bssoccera;Back Street Soccer (KRB-0032A PCB);MAME (Advance);bssoccer;1996;SunA (Unico license);Sports / Soccer;;;;;0;;;;;
bssoccera;Back Street Soccer (KRB-0032A PCB);MAME (Libretro);bssoccer;1996;SunA (Unico license);Sports / Soccer;;;;;0;;;;;
bssoccera;Back Street Soccer (KRB-0032A PCB);MAME (Mame4all);bssoccer;1996;SunA (Unico license);Sports / Soccer;;;;;0;;;;;
bssoccer;Back Street Soccer (KRB-0031 PCB);Arcade;;1996;SunA (Unico license);Sports / Soccer;;;;;0;;;;;
bssoccer;Back Street Soccer (KRB-0031 PCB);Final Burn Alpha;;1996;SunA (Unico license);Sports / Soccer;;;;;0;;;;;
bssoccer;Back Street Soccer (KRB-0031 PCB);MAME (Advance);;1996;SunA (Unico license);Sports / Soccer;;;;;0;;;;;
bssoccer;Back Street Soccer (KRB-0031 PCB);MAME (Libretro);;1996;SunA (Unico license);Sports / Soccer;;;;;0;;;;;
bssoccer;Back Street Soccer (KRB-0031 PCB);MAME (Mame4all);;1996;SunA (Unico license);Sports / Soccer;;;;;0;;;;;
Bundesliga Manager Professional (Europe) (Disk 1);Bundesliga Manager Professional (Europe) (Disk 1);Atari ST;;1992;Software 2000;Sports/Soccer;;;;;0;;;;;
Bundesliga Manager Professional (Europe) (Disk 2);Bundesliga Manager Professional (Europe) (Disk 2);Atari ST;;1992;Software 2000;Sports/Soccer;;;;;0;;;;;
Bundesliga Manager v2.0 (Germany);Bundesliga Manager v2.0 (Germany);Commodore 64;;1991;Software 2000;Sports/Soccer;;;;;0;;;;;
Calcio (Italy);Calcio (Italy);Commodore 64;;1985;Golden Software;Sports/Soccer;;;;;0;;;;;
Capcom's Soccer Shootout (USA);Capcom's Soccer Shootout (USA);Super Nintendo Entertainment System;;1994;Capcom;Sports/Soccer;;;;;0;;;;;
Captain Tsubasa III - Koutei no Chousen (Japan) (Translated En);Captain Tsubasa III - Koutei no Chousen (Japan) (Translated En);Nintendo Super Famicom;;1992;Tecmo;Sports/Soccer;;;;;0;;;;;
Captain Tsubasa IV - Pro no Rival-tachi (Japan);Captain Tsubasa IV - Pro no Rival-tachi (Japan);Nintendo Super Famicom;;1993;Tecmo;Sports/Soccer;;;;;0;;;;;
Captain Tsubasa J - The Way to World Youth (Japan);Captain Tsubasa J - The Way to World Youth (Japan);Nintendo Super Famicom;;1995;Bec;Sports/Soccer;;;;;0;;;;;
Captain Tsubasa J - Zenkoku Seiha e no Chousen (Japan);Captain Tsubasa J - Zenkoku Seiha e no Chousen (Japan);Nintendo Game Boy;;1995;Bandai;Sports/Soccer;;;;;0;;;;;
Captain Tsubasa V - Hasha no Shougou Campione (Japan) (Translated Pt);Captain Tsubasa V - Hasha no Shougou Campione (Japan) (Translated Pt);Nintendo Super Famicom;;1994;Tecmo;Sports/Soccer;;;;;0;;;;;
Captain Tsubasa Vol. II - Super Striker (Japan) (Translated En);Captain Tsubasa Vol. II - Super Striker (Japan) (Translated En);Nintendo Famicom;;1990;Tecmo;Sports/Soccer;;;;;0;;;;;
Challenge Foot (France);Challenge Foot (France);Amstrad CPC;;1992;Generation 5;Sports/Soccer;;;;;0;;;;;
Challenge Foot Junior (France);Challenge Foot Junior (France);Atari ST;;19xx;Generation 5;Sports/Soccer;;;;;0;;;;;
Champions! (Europe);Champions! (Europe);Sinclair ZX Spectrum;;1983;Peaksoft;Sports/Soccer;;;;;0;;;;;
Championship Manager '93 (Europe) (Disk 1);Championship Manager '93 (Europe) (Disk 1);Atari ST;;1993;Domark;Sports/Soccer;;;;;0;;;;;
Championship Manager '93 (Europe) (Disk 2);Championship Manager '93 (Europe) (Disk 2);Atari ST;;1993;Domark;Sports/Soccer;;;;;0;;;;;
Championship Manager End of Season 1994 (Europe) (Disk 1);Championship Manager End of Season 1994 (Europe) (Disk 1);Atari ST;;1994;Domark;Sports/Soccer;;;;;0;;;;;
Championship Manager End of Season 1994 (Europe) (Disk 2);Championship Manager End of Season 1994 (Europe) (Disk 2);Atari ST;;1994;Domark;Sports/Soccer;;;;;0;;;;;
Championship Manager End of Season 1994 (Europe) (Disk 3);Championship Manager End of Season 1994 (Europe) (Disk 3);Atari ST;;1994;Domark;Sports/Soccer;;;;;0;;;;;
Championship Manager (Europe);Championship Manager (Europe);Atari ST;;1992;Domark;Sports/Soccer;;;;;0;;;;;
Championship Manager Italia (Europe) (Disk 1);Championship Manager Italia (Europe) (Disk 1);Atari ST;;1993;Domark;Sports/Soccer;;;;;0;;;;;
Championship Manager Italia (Europe) (Disk 2);Championship Manager Italia (Europe) (Disk 2);Atari ST;;1993;Domark;Sports/Soccer;;;;;0;;;;;
Championship Soccer '94 (USA);Championship Soccer '94 (USA);Super Nintendo Entertainment System;;1994;Sony Imagesoft;Sports/Soccer;;;;;0;;;;;
Championship Soccer (Europe);Championship Soccer (Europe);Sinclair ZX Spectrum;;1989;STD Software;Sports/Soccer;;;;;0;;;;;
Championship Soccer (USA);Championship Soccer (USA);Atari 2600;;1980;Atari;Sports/Soccer;;;;;0;;;;;
Champion Soccer (Japan);Champion Soccer (Japan);Sega SG-1000;;1984;Sega;Sports/Soccer;;;;;0;;;;;
Champions of Europe (Europe);Champions of Europe (Europe);Sega Master System;;1988;TecMagik;Sports/Soccer;;;;;0;;;;;
Champions - World Class Soccer (USA);Champions - World Class Soccer (USA);Super Nintendo Entertainment System;;1994;Flying Edge;Sports/Soccer;;;;;0;;;;;
Champions World Class Soccer (World);Champions World Class Soccer (World);Sega Genesis;;1993;Park Place Productions;Sports/Soccer;;;;;0;;;;;
Chris Kamara's Street Soccer (Europe);Chris Kamara's Street Soccer (Europe);Sony PlayStation;;2000;Midas Interactive Entertainment;Sports/Soccer;;;;;0;;;;;
