#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Crue Ball (Japan);Crue Ball (Japan);Sega Mega Drive Japan;;;Electronic Arts;Sports;1;;;;;;;Crue Ball;;
Cutie Suzuki no Ringside Angel (Japan);Cutie Suzuki no Ringside Angel (Japan);Sega Mega Drive Japan;;;Asmik Corp. of America;Fighting;;;;;;;;Cutie Suzuki no Ringside Angel;;
Cyber Police ESWAT (Japan);Cyber Police ESWAT (Japan);Sega Mega Drive Japan;;;Sega;Action;2;;;;;;;Cyber Police ESWAT;;
Dahna (Korea);Dahna (Korea);Sega Mega Drive Japan;;;;;;;;;;;;;;
Dahna Megami Tanjou (Japan);Dahna Megami Tanjou (Japan);Sega Mega Drive Japan;;;Information Global Service;Action, Adventure;1;;;;;;;Dahna: Megami Tanjou;;
Daikoukai Jidai (Japan);Daikoukai Jidai (Japan);Sega Mega Drive Japan;;;Koei Co., Ltd.;Construction and Management Simulation;1;;;;;;;Daikoukai Jidai;;
Daikoukai Jidai II (Japan);Daikoukai Jidai II (Japan);Sega Mega Drive Japan;;;Koei Co., Ltd.;Strategy;1;;;;;;;Daikoukai Jidai II;;
Daimakai Mura (Japan);Daimakai Mura (Japan);Sega Mega Drive Japan;;;NEC Interchannel, Ltd.;Action;;;;;;;;Dai Makai-Mura;;
David Robinson Basketball (Japan);David Robinson Basketball (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Davis Cup Tennis (Japan);Davis Cup Tennis (Japan);Sega Mega Drive Japan;;;Ubisoft Entertainment;Sports;;;;;;;;Davis Cup Tennis;;
Desert Strike - Wangan Sakusen ~ Desert Strike (Japan, Korea);Desert Strike - Wangan Sakusen ~ Desert Strike (Japan, Korea);Sega Mega Drive Japan;;;;;;;;;;;;;;
Devil Crash MD (Japan);Devil Crash MD (Japan);Sega Mega Drive Japan;;;;Action;1;;;;;;;Devil Crash MD;;
