Spider-Man and the X-Men - Arcade's Revenge (USA);Spider-Man and the X-Men - Arcade's Revenge (USA);Super Nintendo Entertainment System;;1992;LJN;Platform;;;;;0;;;;;
xmvsfjr2;X-Men Vs. Street Fighter (Japan 960909);MAME (Mame4all);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfj;X-Men vs Street Fighter (961004 Japan);Final Burn Alpha;xmvsf;1996;Capcom;;;;;;0;;;;;
xmvsfj;X-Men Vs. Street Fighter (Japan 961004);Arcade;xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfj;X-Men Vs. Street Fighter (Japan 961004);MAME (Advance);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfj;X-Men Vs. Street Fighter (Japan 961004);MAME (Libretro);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfj;X-Men Vs. Street Fighter (Japan 961004);MAME (Mame4all);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfr1;X-Men vs Street Fighter (960910 Euro);Final Burn Alpha;xmvsf;1996;Capcom;;;;;;0;;;;;
xmvsfr1;X-Men Vs. Street Fighter (Euro 960910);Arcade;xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfr1;X-Men Vs. Street Fighter (Euro 960910);MAME (Advance);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfr1;X-Men Vs. Street Fighter (Euro 960910);MAME (Libretro);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfr1;X-Men Vs. Street Fighter (Euro 960910);MAME (Mame4all);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfu1d;X-Men vs Street Fighter (961004 USA Phoenix Edition) [Bootleg];Final Burn Alpha;xmvsf;1996;bootleg;;;;;;0;;;;;
xmvsfu1d;X-Men Vs. Street Fighter (USA 961004 Phoenix Edition) (bootleg);Arcade;xmvsf;1996;bootleg;Fighter / Versus;;;;;0;;;;;
xmvsfu1d;X-Men Vs. Street Fighter (USA 961004 Phoenix Edition) (bootleg);MAME (Advance);xmvsf;1996;bootleg;Fighter / Versus;;;;;0;;;;;
xmvsfu1d;X-Men Vs. Street Fighter (USA 961004 Phoenix Edition) (bootleg);MAME (Libretro);xmvsf;1996;bootleg;Fighter / Versus;;;;;0;;;;;
xmvsfu1d;X-Men Vs. Street Fighter (USA 961004 Phoenix Edition) (bootleg);MAME (Mame4all);xmvsf;1996;bootleg;Fighter / Versus;;;;;0;;;;;
xmvsfur1;X-Men vs Street Fighter (961004 USA);Final Burn Alpha;xmvsf;1996;Capcom;;;;;;0;;;;;
xmvsfur1;X-Men Vs. Street Fighter (USA 961004);Arcade;xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfur1;X-Men Vs. Street Fighter (USA 961004);MAME (Advance);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfur1;X-Men Vs. Street Fighter (USA 961004);MAME (Libretro);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfur1;X-Men Vs. Street Fighter (USA 961004);MAME (Mame4all);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfu;X-Men vs Street Fighter (961023 USA);Final Burn Alpha;xmvsf;1996;Capcom;;;;;;0;;;;;
xmvsfu;X-Men Vs. Street Fighter (USA 961023);Arcade;xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfu;X-Men Vs. Street Fighter (USA 961023);MAME (Advance);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfu;X-Men Vs. Street Fighter (USA 961023);MAME (Libretro);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfu;X-Men Vs. Street Fighter (USA 961023);MAME (Mame4all);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsf;X-Men vs Street Fighter (961004 Euro);Final Burn Alpha;;1996;Capcom;;;;;;0;;;;;
xmvsf;X-Men Vs. Street Fighter (Euro 961004);Arcade;;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsf;X-Men Vs. Street Fighter (Euro 961004);MAME (Advance);;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsf;X-Men Vs. Street Fighter (Euro 961004);MAME (Libretro);;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsf;X-Men Vs. Street Fighter (Euro 961004);MAME (Mame4all);;1996;Capcom;Fighter / Versus;;;;;0;;;;;
