Spider-Man and the X-Men - Arcade's Revenge (USA);Spider-Man and the X-Men - Arcade's Revenge (USA);Super Nintendo Entertainment System;;1992;LJN;Platform;;;;;0;;;;;
xmcotaj;X-Men - children of the atom (950105 Japan);Final Burn Alpha;xmcota;1994;Capcom;;;;;;0;;;;;
xmcotaj;X-Men Children of the Atom (Japan 950105);Arcade;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaj;X-Men Children of the Atom (Japan 950105);MAME (Advance);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaj;X-Men Children of the Atom (Japan 950105);MAME (Libretro);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaj;X-Men Children of the Atom (Japan 950105);MAME (Mame4all);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotar1d;X-Men - children of the atom (950105 Euro Phoenix Edition) [Bootleg];Final Burn Alpha;xmcota;1995;bootleg;;;;;;0;;;;;
xmcotar1d;X-Men Children of the Atom (Euro 950105 Phoenix Edition) (bootleg);Arcade;xmcota;1994;bootleg;Fighter / Versus;;;;;0;;;;;
xmcotar1d;X-Men Children of the Atom (Euro 950105 Phoenix Edition) (bootleg);MAME (Advance);xmcota;1994;bootleg;Fighter / Versus;;;;;0;;;;;
xmcotar1d;X-Men Children of the Atom (Euro 950105 Phoenix Edition) (bootleg);MAME (Libretro);xmcota;1994;bootleg;Fighter / Versus;;;;;0;;;;;
xmcotar1d;X-Men Children of the Atom (Euro 950105 Phoenix Edition) (bootleg);MAME (Mame4all);xmcota;1994;bootleg;Fighter / Versus;;;;;0;;;;;
xmcotar1;X-Men - children of the atom (950105 Euro);Final Burn Alpha;xmcota;1995;Capcom;;;;;;0;;;;;
xmcotar1;X-Men Children of the Atom (Euro 950105);Arcade;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotar1;X-Men Children of the Atom (Euro 950105);MAME (Advance);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotar1;X-Men Children of the Atom (Euro 950105);MAME (Libretro);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotar1;X-Men Children of the Atom (Euro 950105);MAME (Mame4all);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotau;X-Men - children of the atom (950105 USA);Final Burn Alpha;xmcota;1995;Capcom;;;;;;0;;;;;
xmcotau;X-Men Children of the Atom (USA 950105);Arcade;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotau;X-Men Children of the Atom (USA 950105);MAME (Advance);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotau;X-Men Children of the Atom (USA 950105);MAME (Libretro);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotau;X-Men Children of the Atom (USA 950105);MAME (Mame4all);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcota;X-Men - children of the atom (950331 Euro);Final Burn Alpha;;1995;Capcom;;;;;;0;;;;;
xmcota;X-Men Children of the Atom (Euro 950331);Arcade;;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcota;X-Men Children of the Atom (Euro 950331);MAME (Advance);;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcota;X-Men Children of the Atom (Euro 950331);MAME (Libretro);;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcota;X-Men Children of the Atom (Euro 950331);MAME (Mame4all);;1994;Capcom;Fighter / Versus;;;;;0;;;;;
X-Men 2 - Clone Wars (USA, Europe);X-Men 2 - Clone Wars (USA, Europe);Sega Genesis;;1995;HeadGames;Platform;;;;;0;;;;;
xmen2p01;X-Men 2 - Clone Wars (Prototype, 19941216);Final Burn Alpha;xmen2;1994;Sega;;;;;;0;;;;;
xmen2p02;X-Men 2 - Clone Wars (Prototype, 19941215);Final Burn Alpha;xmen2;1994;Sega;;;;;;0;;;;;
xmen2p03;X-Men 2 - Clone Wars (Prototype, 19941214);Final Burn Alpha;xmen2;1994;Sega;;;;;;0;;;;;
xmen2p04;X-Men 2 - Clone Wars (Prototype, 19941211);Final Burn Alpha;xmen2;1994;Sega;;;;;;0;;;;;
xmen2p05;X-Men 2 - Clone Wars (Prototype, 19941211-A);Final Burn Alpha;xmen2;1994;Sega;;;;;;0;;;;;
xmen2p06;X-Men 2 - Clone Wars (Prototype, 19941210);Final Burn Alpha;xmen2;1994;Sega;;;;;;0;;;;;
xmen2p07;X-Men 2 - Clone Wars (Prototype, 19941209);Final Burn Alpha;xmen2;1994;Sega;;;;;;0;;;;;
xmen2p08;X-Men 2 - Clone Wars (Prototype, 19941208);Final Burn Alpha;xmen2;1994;Sega;;;;;;0;;;;;
xmen2p09;X-Men 2 - Clone Wars (Prototype, 19941207);Final Burn Alpha;xmen2;1994;Sega;;;;;;0;;;;;
xmen2p10;X-Men 2 - Clone Wars (Prototype, 19941206);Final Burn Alpha;xmen2;1994;Sega;;;;;;0;;;;;
xmen2p11;X-Men 2 - Clone Wars (Prototype, 19941203);Final Burn Alpha;xmen2;1994;Sega;;;;;;0;;;;;
xmen2p12;X-Men 2 - Clone Wars (Prototype, 19941202);Final Burn Alpha;xmen2;1994;Sega;;;;;;0;;;;;
xmen2p13;X-Men 2 - Clone Wars (Prototype, 19941130);Final Burn Alpha;xmen2;1994;Sega;;;;;;0;;;;;
xmen2p14;X-Men 2 - Clone Wars (Prototype, 19941128);Final Burn Alpha;xmen2;1994;Sega;;;;;;0;;;;;
xmen2p15;X-Men 2 - Clone Wars (Prototype, 19941123);Final Burn Alpha;xmen2;1994;Sega;;;;;;0;;;;;
xmen2p16;X-Men 2 - Clone Wars (Prototype, 19941117);Final Burn Alpha;xmen2;1994;Sega;;;;;;0;;;;;
xmen2p17;X-Men 2 - Clone Wars (Prototype, 19941018);Final Burn Alpha;xmen2;1994;Sega;;;;;;0;;;;;
xmen2p18;X-Men 2 - Clone Wars (Prototype, 19940510);Final Burn Alpha;xmen2;1994;Sega;;;;;;0;;;;;
xmen2p19;X-Men 2 - Clone Wars (Prototype, 19940506);Final Burn Alpha;xmen2;1994;Sega;;;;;;0;;;;;
xmen2pa;X-Men (2 Players ver AAA);Arcade;xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmen2pa;X-Men (2 Players ver AAA);Final Burn Alpha;xmen;1992;Konami;;;;;;0;;;;;
xmen2pa;X-Men (2 Players ver AAA);MAME (Advance);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmen2pa;X-Men (2 Players ver AAA);MAME (Libretro);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmen2pa;X-Men (2 Players ver AAA);MAME (Mame4all);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmen2pe;X-Men (2 Players ver EAA);Arcade;xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmen2pe;X-Men (2 Players ver EAA);Final Burn Alpha;xmen;1992;Konami;;;;;;0;;;;;
xmen2pe;X-Men (2 Players ver EAA);MAME (Advance);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmen2pe;X-Men (2 Players ver EAA);MAME (Libretro);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmen2pe;X-Men (2 Players ver EAA);MAME (Mame4all);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmen2pj;X-Men (2 Players ver JAA);Arcade;xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmen2pj;X-Men (2 Players ver JAA);Final Burn Alpha;xmen;1992;Konami;;;;;;0;;;;;
xmen2pj;X-Men (2 Players ver JAA);MAME (Advance);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmen2pj;X-Men (2 Players ver JAA);MAME (Libretro);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmen2pj;X-Men (2 Players ver JAA);MAME (Mame4all);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmen2;X-Men 2 - Clone Wars (Euro, USA);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;
xmen6pu;X-Men (6 Players ver UCB);Arcade;xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmen6pu;X-Men (6 Players ver UCB);MAME (Advance);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmen6pu;X-Men (6 Players ver UCB);MAME (Libretro);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmen6pu;X-Men (6 Players ver UCB);MAME (Mame4all);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmen6p;X-Men (6 Players ver ECB);Arcade;xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmen6p;X-Men (6 Players ver ECB);MAME (Advance);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmen6p;X-Men (6 Players ver ECB);MAME (Libretro);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmen6p;X-Men (6 Players ver ECB);MAME (Mame4all);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmenaa;X-Men (4 Players ver ADA);Arcade;xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmenaa;X-Men (4 Players ver ADA);Final Burn Alpha;xmen;1992;Konami;;;;;;0;;;;;
xmenaa;X-Men (4 Players ver ADA);MAME (Advance);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmenaa;X-Men (4 Players ver ADA);MAME (Libretro);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmenaa;X-Men (4 Players ver ADA);MAME (Mame4all);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmena;X-Men (4 Players ver AEA);Arcade;xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmena;X-Men (4 Players ver AEA);Final Burn Alpha;xmen;1992;Konami;;;;;;0;;;;;
xmena;X-Men (4 Players ver AEA);MAME (Advance);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmena;X-Men (4 Players ver AEA);MAME (Libretro);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmena;X-Men (4 Players ver AEA);MAME (Mame4all);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
X-Men - Children of the Atom (USA);X-Men - Children of the Atom (USA);Sony PlayStation;;1998;Acclaim;Fighter;;;;;0;;;;;
X-Men - Children of the Atom (USA);X-Men - Children of the Atom (USA);Sony PSP;;1998;Acclaim;Fighter;;;;;0;;;;;
X-Men - Destiny (USA);X-Men - Destiny;Nintendo DS;;;;;;;;;0;;;;;
xmene;X-Men (4 Players ver EBA);Arcade;xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmene;X-Men (4 Players ver EBA);Final Burn Alpha;xmen;1992;Konami;;;;;;0;;;;;
xmene;X-Men (4 Players ver EBA);MAME (Advance);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmene;X-Men (4 Players ver EBA);MAME (Libretro);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmene;X-Men (4 Players ver EBA);MAME (Mame4all);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
X-Men - Gamemaster's Legacy (USA, Europe);X-Men - Gamemaster's Legacy (USA, Europe);Sega Game Gear;;1995;Sega;Platform;;;;;0;;;;;
xmenj;X-Men (4 Players ver JBA);Arcade;xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmenj;X-Men (4 Players ver JBA);Final Burn Alpha;xmen;1992;Konami;;;;;;0;;;;;
xmenj;X-Men (4 Players ver JBA);MAME (Advance);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmenj;X-Men (4 Players ver JBA);MAME (Libretro);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmenj;X-Men (4 Players ver JBA);MAME (Mame4all);xmen;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
X-Men - Madness in Murderworld (USA) (Side A);X-Men - Madness in Murderworld (USA) (Side A);Commodore 64;;1989;Paragon Software;Adventure;;;;;0;;;;;
X-Men - Madness in Murderworld (USA) (Side B);X-Men - Madness in Murderworld (USA) (Side B);Commodore 64;;1989;Paragon Software;Adventure;;;;;0;;;;;
X-Men - Mojo World (Brazil);X-Men - Mojo World (Brazil);Sega Master System;;1996;Sega;Platform;;;;;0;;;;;
X-Men - Mojo World (USA, Europe);X-Men - Mojo World (USA, Europe);Sega Game Gear;;1996;Sega;Beat-'Em-Up;;;;;0;;;;;
X-Men - Mutant Academy 2 (USA);X-Men - Mutant Academy 2 (USA);Sony PlayStation;;2001;Activision;Fighter;;;;;0;;;;;
X-Men - Mutant Academy 2 (USA);X-Men - Mutant Academy 2 (USA);Sony PSP;;2001;Activision;Fighter;;;;;0;;;;;
X-Men - Mutant Academy (USA, Europe);X-Men - Mutant Academy (USA, Europe);Nintendo Game Boy Color;;2000;Activision;Fighter;;;;;0;;;;;
X-Men - Mutant Academy (USA);X-Men - Mutant Academy (USA);Sony PlayStation;;2000;Activision;Fighter;;;;;0;;;;;
X-Men - Mutant Academy (USA);X-Men - Mutant Academy (USA);Sony PSP;;2000;Activision;Fighter;;;;;0;;;;;
X-Men - Mutant Apocalypse (USA);X-Men - Mutant Apocalypse (USA);Super Nintendo Entertainment System;;1995;Capcom;Platform;;;;;0;;;;;
X-Men - Mutant Wars (USA, Europe);X-Men - Mutant Wars (USA, Europe);Nintendo Game Boy Color;;2000;Activision;Beat-'Em-Up;;;;;0;;;;;
X-Men Origins - Wolverine (USA) (En,Fr) [b];X-Men Origins - Wolverine;Nintendo DS;;;;;;;;;0;;;;;
X-Men - Reign of Apocalypse (USA, Europe);X-Men - Reign of Apocalypse (USA, Europe);Nintendo Game Boy Advance;;2001;Activision;Beat-'Em-Up;;;;;0;;;;;
X-Men - The Official Game (USA);X-Men - The Official Game;Nintendo DS;;;;;;;;;0;;;;;
X-Men - The Official Game (USA);X-Men - The Official Game (USA);Nintendo Game Boy Advance;;2006;Activision;Beat-'Em-Up;;;;;0;;;;;
X-Men (USA);X-Men (USA);Sega Game Gear;;1994;Sega;Platform;;;;;0;;;;;
X-Men (USA);X-Men (USA);Sega Genesis;;1993;Western Technologies;Action;;;;;0;;;;;
xmenu;X-Men (USA);Final Burn Alpha;xmen;1993;Sega;;;;;;0;;;;;
X-Men vs. Street Fighter (USA);X-Men vs. Street Fighter (USA);Sony PlayStation;;1998;Capcom;Fighter;;;;;0;;;;;
