fswords;Fighters Swords (Korean release of Samurai Shodown III);Arcade;samsho3;1995;SNK;Fighter / Versus;;;;;0;;;;;
fswords;Fighters Swords (Korean release of Samurai Shodown III);Final Burn Alpha;samsho3;1995;SNK;;;;;;0;;;;;
fswords;Fighters Swords (Korean release of Samurai Shodown III);MAME (Advance);samsho3;1995;SNK;Fighter / Versus;;;;;0;;;;;
fswords;Fighters Swords (Korean release of Samurai Shodown III);MAME (Libretro);samsho3;1995;SNK;Fighter / Versus;;;;;0;;;;;
fswords;Fighters Swords (Korean release of Samurai Shodown III);MAME (Mame4all);samsho3;1995;SNK;Fighter / Versus;;;;;0;;;;;
littlesamurai-win;Magic Tales - The Little Samurai (CD Windows);ScummVM;;1995;Animation Magic;Educational;;;;;0;;;;;
samsh5sp;Samurai Shodown V Special / Samurai Spirits Zero Special (NGM-2720);Arcade;;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsh5sp;Samurai Shodown V Special / Samurai Spirits Zero Special (NGM-2720);Final Burn Alpha;;2004;Yuki Enterprise / SNK Playmore;;;;;;0;;;;;
samsh5sp;Samurai Shodown V Special / Samurai Spirits Zero Special (NGM-2720);MAME (Advance);;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsh5sp;Samurai Shodown V Special / Samurai Spirits Zero Special (NGM-2720);MAME (Libretro);;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsh5sp;Samurai Shodown V Special / Samurai Spirits Zero Special (NGM-2720);MAME (Mame4all);;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsh5sp;Samurai Showdown 5 Special;SNK Neo Geo AES;;2004;Yuki Enterprise;Action/Fighting;;;;;0;;;;;
samsh5sph;Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720) (2nd release, less censored);Arcade;samsh5sp;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
