Ballz - The Director's Cut (USA);Ballz - The Director's Cut (USA);Panasonic 3DO;;1995;PF Magic;Fighter;;;;;0;;;;;
Ballz 3D - Fighting at Its Ballziest (USA);Ballz 3D - Fighting at Its Ballziest (USA);Super Nintendo Entertainment System;;1995;Accolade;Fighter;;;;;0;;;;;
Ballz 3D - Fighting at Its Ballziest (USA, Europe);Ballz 3D - Fighting at Its Ballziest (USA, Europe);Sega Genesis;;1994;PF.Magic;Fighter;;;;;0;;;;;
Barbarian - The Ultimate Warrior (Europe);Barbarian - The Ultimate Warrior (Europe);Atari ST;;1987;US Gold;Fighter;;;;;0;;;;;
Barbarian - The Ultimate Warrior - 1 Player (Europe);Barbarian - The Ultimate Warrior - 1 Player (Europe);Sinclair ZX Spectrum;;1987;Palace Software;Fighter;;;;;0;;;;;
Barbarian - The Ultimate Warrior - 2 Players (Europe);Barbarian - The Ultimate Warrior - 2 Players (Europe);Sinclair ZX Spectrum;;1987;Palace Software;Fighter;;;;;0;;;;;
Barbarian II - The Dungeon of Drax (Europe);Barbarian II - The Dungeon of Drax (Europe);Atari ST;;1988;Palace Software;Fighter;;;;;0;;;;;
Barbarian II - The Dungeon of Drax (Europe);Barbarian II - The Dungeon of Drax (Europe);Sinclair ZX Spectrum;;1988;Palace Software;Fighter;;;;;0;;;;;
Bastard!! Ankoku no Hakaishin (Japan) (Translated En);Bastard!! Ankoku no Hakaishin (Japan) (Translated En);Nintendo Super Famicom;;1994;Cobra Team;Fighter;;;;;0;;;;;
Batman Forever (USA);Batman Forever (USA);Super Nintendo Entertainment System;;1995;Acclaim;Fighter;;;;;0;;;;;
Batman Returns (USA);Batman Returns (USA);Super Nintendo Entertainment System;;1993;Konami;Fighter;;;;;0;;;;;
Battle Arena Toshinden (USA);Battle Arena Toshinden (USA);Nintendo Game Boy;;1996;Takara;Fighter;;;;;0;;;;;
Battle Arena Toshinden (USA);Battle Arena Toshinden (USA);Sony PSP;;1995;SCEA;Fighter;;;;;0;;;;;
Battle Arena Toshinden (USA);Battle Arena Toshinden (USA);Sony PlayStation;;1995;SCEA;Fighter;;;;;0;;;;;
Battle Arena Toshinden 2 (USA);Battle Arena Toshinden 2 (USA);Sony PSP;;1996;Playmates;Fighter;;;;;0;;;;;
